eBird English Name,eBird Scientific Name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Breeding Period,Ground Nester (Open),Ground Nester (Concealed),Canopy Nester,mid story/Shrub/thicket nester,Earthen Cavity nester,Tree Cavity Nester,Cliff Nester,Nest in urban structures,Nest in urban gardens,Area of distribution range (sq. km.),Remarks
Fulvous Whistling-Duck,Dendrocygna bicolor,0,0,0,0,0,0,20,0,20,60,PlantSeed,Ref_1,A,Jennifer,20,80,0,0,0,0,0,0,Ref_1,1,Morgane,,,,,,,,,,,,
Lesser Whistling-Duck,Dendrocygna javanica,0,0,0,0,0,0,0,0,20,80,PlantSeed,Ref_1,A,Jennifer,0,20,80,0,0,0,0,0,Ref_1,1,Morgane,,,,,,,,,,,,
White-headed Duck,Oxyura leucocephala,10,0,0,0,0,0,0,0,30,60,PlantSeed,Ref_1,A,Jennifer,80,20,0,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
Mute Swan,Cygnus olor,10,0,10,0,0,0,0,0,0,80,PlantSeed,Ref_1,A,Jennifer,0,100,0,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
Tundra Swan,Cygnus columbianus,0,0,0,0,0,0,0,0,0,100,PlantSeed,Ref_1,A,Jennifer,0,50,50,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
Whooper Swan,Cygnus cygnus,0,0,0,0,0,0,0,0,0,100,PlantSeed,Ref_1,A,Jennifer,0,80,20,0,0,0,0,0,Ref_1,1,Other,,,,,,,,,,,,
Red-breasted Goose,Branta ruficollis,0,0,0,0,0,0,0,0,0,100,PlantSeed,Ref_1,A,Jennifer,0,20,80,0,0,0,0,0,Ref_1,1,Morgane,,,,,,,,,,,,
Bar-headed Goose,Anser indicus,0,0,0,0,0,0,0,0,0,100,PlantSeed,Ref_1,A,Jennifer,0,20,80,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
Graylag Goose,Anser anser,0,0,0,0,0,0,10,0,10,80,PlantSeed,Ref_1,A,Jennifer,0,20,80,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
Taiga Bean-Goose,Anser fabalis,0,0,0,0,0,0,20,0,0,80,PlantSeed,Ref_1,A,Jennifer,0,20,80,0,0,0,0,0,Ref_1,1,Morgane,,,,,,,,,,,,
Tundra Bean-Goose,Anser serrirostris,0,0,0,0,0,0,20,0,0,80,PlantSeed,Ref_1,A,,,,,,,,,,,,,,,,,,,,,,,,
Greater White-fronted Goose,Anser albifrons,0,0,0,0,0,0,10,0,0,90,PlantSeed,Ref_1,A,Jennifer,0,20,80,0,0,0,0,0,Ref_1,1,Morgane,,,,,,,,,,,,
Lesser White-fronted Goose,Anser erythropus,0,0,0,0,0,0,0,0,0,100,PlantSeed,Ref_1,A,Jennifer,0,20,80,0,0,0,0,0,Ref_1,1,Morgane,,,,,,,,,,,,
Long-tailed Duck,Clangula hyemalis,80,0,0,0,0,0,10,0,0,10,Invertebrate,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
Common Goldeneye,Bucephala clangula,70,0,0,10,0,0,0,0,10,10,Invertebrate,Ref_1,A,Jennifer,80,20,0,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
Smew,Mergellus albellus,70,0,0,20,0,0,0,0,0,10,Invertebrate,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
Common Merganser,Mergus merganser,10,10,10,70,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,80,20,0,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
Red-breasted Merganser,Mergus serrator,20,0,0,70,0,0,0,0,0,10,VertFishScav,Ref_1,A,Jennifer,80,20,0,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
Common Shelduck,Tadorna tadorna,70,0,0,20,0,0,0,0,0,10,Invertebrate,Ref_1,A,Jennifer,0,90,10,0,0,0,0,0,Ref_1,1,Other,,,,,,,,,,,,
Ruddy Shelduck,Tadorna ferruginea,10,0,0,0,10,0,0,0,20,60,PlantSeed,Ref_1,A,Jennifer,0,100,0,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
Marbled Teal,Marmaronetta angustirostris,20,0,0,0,0,0,0,0,20,60,PlantSeed,Ref_1,A,Jennifer,50,50,0,0,0,0,0,0,Ref_1,1,Jessica,,,,,,,,,,,,
