eBird English Name,eBird Scientific Name,India,Subcontinent,Mainland India,Western Ghats,Southern Andhra Pradesh,Southern Deccan Plateau,Central India,Western Himalayas,Eastern Himalayas,Himalayas,Assam Plains,Indus Plains,Northern Myanmar Lowlands,Andaman and Nicobar islands
Fulvous Whistling-Duck,Dendrocygna bicolor,,,,,,,,,,,,,,
Lesser Whistling-Duck,Dendrocygna javanica,,,,,,,,,,,,,,
White-headed Duck,Oxyura leucocephala,,,,,,,,,,,,,,
Mute Swan,Cygnus olor,,,,,,,,,,,,,,
Tundra Swan,Cygnus columbianus,,,,,,,,,,,,,,
Whooper Swan,Cygnus cygnus,,,,,,,,,,,,,,
Red-breasted Goose,Branta ruficollis,,,,,,,,,,,,,,
Bar-headed Goose,Anser indicus,,,,,,,,,,,,,,
Graylag Goose,Anser anser,,,,,,,,,,,,,,
Taiga Bean-Goose,Anser fabalis,,,,,,,,,,,,,,
Tundra Bean-Goose,Anser serrirostris,,,,,,,,,,,,,,
Greater White-fronted Goose,Anser albifrons,,,,,,,,,,,,,,
Lesser White-fronted Goose,Anser erythropus,,,,,,,,,,,,,,
Long-tailed Duck,Clangula hyemalis,,,,,,,,,,,,,,
Common Goldeneye,Bucephala clangula,,,,,,,,,,,,,,
Smew,Mergellus albellus,,,,,,,,,,,,,,
Common Merganser,Mergus merganser,,,,,,,,,,,,,,
Red-breasted Merganser,Mergus serrator,,,,,,,,,,,,,,
Common Shelduck,Tadorna tadorna,,,,,,,,,,,,,,
Ruddy Shelduck,Tadorna ferruginea,,,,,,,,,,,,,,
Marbled Teal,Marmaronetta angustirostris,,,,,,,,,,,,,,
White-winged Duck,Asarcornis scutulata,,,,,,,,,,,,,,
Red-crested Pochard,Netta rufina,,,,,,,,,,,,,,
Common Pochard,Aythya ferina,,,,,,,,,,,,,,
Baer's Pochard,Aythya baeri,,,,,,,,,,,,,,
Ferruginous Duck,Aythya nyroca,,,,,,,,,,,,,,
Tufted Duck,Aythya fuligula,,,,,,,,,,,,,,
Greater Scaup,Aythya marila,,,,,,,,,,,,,,
Pink-headed Duck,Rhodonessa caryophyllacea,,,,,,,,,,,,,,
Garganey,Spatula querquedula,,,,,,,,,,,,,,
Northern Shoveler,Spatula clypeata,,,,,,,,,,,,,,
Baikal Teal,Sibirionetta formosa,,,,,,,,,,,,,,
Falcated Duck,Mareca falcata,,,,,,,,,,,,,,
Gadwall,Mareca strepera,,,,,,,,,,,,,,
Eurasian Wigeon,Mareca penelope,,,,,,,,,,,,,,
Eastern Spot-billed Duck,Anas zonorhyncha,,,,,,,,,,,,,,
Indian Spot-billed Duck,Anas poecilorhyncha,,,,,,,,,,,,,,
Mallard,Anas platyrhynchos,,,,,,,,,,,,,,
Andaman Teal,Anas albogularis,1,1,,,,,,,,,,,,1
Northern Pintail,Anas acuta,,,,,,,,,,,,,,
Green-winged Teal,Anas crecca,,,,,,,,,,,,,,
Knob-billed Duck,Sarkidiornis melanotos,,,,,,,,,,,,,,
Mandarin Duck,Aix galericulata,,,,,,,,,,,,,,
Cotton Pygmy-Goose,Nettapus coromandelianus,,,,,,,,,,,,,,
Nicobar Scrubfowl,Megapodius nicobariensis,1,1,,,,,,,,,,,,1
Hill Partridge,Arborophila torqueola,,,,,,,,,,1,,,,
