eBird English Name 2018,eBird Scientific Name 2018,India Checklist Name,India Scientific Name,eBird English Name 2019,eBird Scientific Name 2019,IUCN,Schedule,CITES Appendix,CMS Appendix
Fulvous Whistling-Duck,Dendrocygna bicolor,Fulvous Whistling Duck,Dendrocygna bicolor,Fulvous Whistling-Duck,Dendrocygna bicolor,Least Concern,Schedule-I,,Appendix II
Lesser Whistling-Duck,Dendrocygna javanica,Lesser Whistling Duck,Dendrocygna javanica,Lesser Whistling-Duck,Dendrocygna javanica,Least Concern,Schedule-IV,,Appendix II
Bar-headed Goose,Anser indicus,Bar-headed Goose,Anser indicus,Bar-headed Goose,Anser indicus,Least Concern,Schedule-IV,,Appendix II
Graylag Goose,Anser anser,Greylag Goose,Anser anser,Graylag Goose,Anser anser,Least Concern,Schedule-IV,,Appendix II
Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,Anser albifrons,Least Concern,Schedule-IV,,Appendix II
Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,Anser erythropus,Vulnerable,Schedule-IV,,Appendix I
Taiga Bean-Goose,Anser fabalis,Taiga Bean-Goose,Anser fabalis,Taiga Bean-Goose,Anser fabalis,Least Concern,Schedule-IV,,Appendix II
Tundra Bean-Goose,Anser serrirostris,Tundra Bean-Goose,Anser serrirostris,Tundra Bean-Goose,Anser serrirostris,Least Concern,Schedule-IV,,Appendix II
Red-breasted Goose,Branta ruficollis,Red-breasted Goose,Branta ruficollis,Red-breasted Goose,Branta ruficollis,Vulnerable,Schedule-IV,Appendix II,Appendix I
Mute Swan,Cygnus olor,Mute Swan,Cygnus olor,Mute Swan,Cygnus olor,Least Concern,Schedule-IV,,Appendix II
Tundra Swan,Cygnus columbianus,Tundra Swan,Cygnus columbianus,Tundra Swan,Cygnus columbianus,Least Concern,Schedule-IV,,Appendix II
Whooper Swan,Cygnus cygnus,Whooper Swan,Cygnus cygnus,Whooper Swan,Cygnus cygnus,Least Concern,Schedule-IV,,Appendix II
Knob-billed Duck,Sarkidiornis melanotos,Comb Duck,Sarkidiornis melanotos,Knob-billed Duck,Sarkidiornis melanotos,Least Concern,Schedule-IV,Appendix II,Appendix II
Ruddy Shelduck,Tadorna ferruginea,Ruddy Shelduck,Tadorna ferruginea,Ruddy Shelduck,Tadorna ferruginea,Least Concern,Schedule-IV,,Appendix II
Common Shelduck,Tadorna tadorna,Common Shelduck,Tadorna tadorna,Common Shelduck,Tadorna tadorna,Least Concern,Schedule-IV,,Appendix II
Cotton Pygmy-Goose,Nettapus coromandelianus,Cotton Teal,Nettapus coromandelianus,Cotton Pygmy-Goose,Nettapus coromandelianus,Least Concern,Schedule-IV,,Appendix II
Mandarin Duck,Aix galericulata,Mandarin Duck,Aix galericulata,Mandarin Duck,Aix galericulata,Least Concern,Schedule-IV,,Appendix II
Baikal Teal,Sibirionetta formosa,Baikal Teal,Sibirionetta formosa,Baikal Teal,Sibirionetta formosa,Least Concern,Schedule-IV,Appendix II,Appendix I
Garganey,Spatula querquedula,Garganey,Spatula querquedula,Garganey,Spatula querquedula,Least Concern,Schedule-IV,,Appendix II
Northern Shoveler,Spatula clypeata,Northern Shoveler,Spatula clypeata,Northern Shoveler,Spatula clypeata,Least Concern,Schedule-IV,,Appendix II
Gadwall,Mareca strepera,Gadwall,Mareca strepera,Gadwall,Mareca strepera,Least Concern,Schedule-IV,,Appendix II
Falcated Duck,Mareca falcata,Falcated Duck,Mareca falcata,Falcated Duck,Mareca falcata,Near Threatened,Schedule-IV,,Appendix II
Eurasian Wigeon,Mareca penelope,Eurasian Wigeon,Mareca penelope,Eurasian Wigeon,Mareca penelope,Least Concern,Schedule-IV,,Appendix II
Indian Spot-billed Duck,Anas poecilorhyncha,Indian Spot-billed Duck,Anas poecilorhyncha,Indian Spot-billed Duck,Anas poecilorhyncha,Least Concern,Schedule-IV,,Appendix II
Eastern Spot-billed Duck,Anas zonorhyncha,Chinese Spot-billed Duck,Anas zonorhyncha,Eastern Spot-billed Duck,Anas zonorhyncha,Least Concern,Schedule-IV,,Appendix II
Mallard,Anas platyrhynchos,Mallard,Anas platyrhynchos,Mallard,Anas platyrhynchos,Least Concern,Schedule-IV,,Appendix II
Northern Pintail,Anas acuta,Northern Pintail,Anas acuta,Northern Pintail,Anas acuta,Least Concern,Schedule-IV,,Appendix II
Green-winged Teal,Anas crecca,Common Teal,Anas crecca,Green-winged Teal,Anas crecca,Least Concern,Schedule-IV,,Appendix II
Andaman Teal,Anas albogularis,Andaman Teal,Anas albogularis,Andaman Teal,Anas albogularis,Vulnerable,Schedule-I,,Appendix II
Marbled Teal,Marmaronetta angustirostris,Marbled Teal,Marmaronetta angustirostris,Marbled Teal,Marmaronetta angustirostris,Vulnerable,Schedule-IV,,Appendix I
Pink-headed Duck,Rhodonessa caryophyllacea,Pink-headed Duck,Rhodonessa caryophyllacea,Pink-headed Duck,Rhodonessa caryophyllacea,Critically Endangered,Schedule-I,Appendix I,Appendix II
White-winged Duck,Asarcornis scutulata,White-winged Wood Duck,Asarcornis scutulata,White-winged Duck,Asarcornis scutulata,Endangered,Schedule-I,Appendix I,Appendix II
Red-crested Pochard,Netta rufina,Red-crested Pochard,Netta rufina,Red-crested Pochard,Netta rufina,Least Concern,Schedule-IV,,Appendix II
Common Pochard,Aythya ferina,Common Pochard,Aythya ferina,Common Pochard,Aythya ferina,Vulnerable,Schedule-IV,,Appendix II
Ferruginous Duck,Aythya nyroca,Ferruginous Duck,Aythya nyroca,Ferruginous Duck,Aythya nyroca,Near Threatened,Schedule-IV,,Appendix I
Baer's Pochard,Aythya baeri,Baer's Pochard,Aythya baeri,Baer's Pochard,Aythya baeri,Critically Endangered,Schedule-IV,,Appendix I
Tufted Duck,Aythya fuligula,Tufted Duck,Aythya fuligula,Tufted Duck,Aythya fuligula,Least Concern,Schedule-IV,,Appendix II
