species,scientific,essential,discard,remarks
Fulvous Whistling-Duck,Dendrocygna bicolor,1,,
Lesser Whistling-Duck,Dendrocygna javanica,,,
Bar-headed Goose,Anser indicus,1,,
Graylag Goose,Anser anser,,,
Greater White-fronted Goose,Anser albifrons,,1,Too uncommon
Lesser White-fronted Goose,Anser erythropus,,1,
Taiga Bean-Goose,Anser fabalis,,1,
Tundra Bean-Goose,Anser serrirostris,,1,
Red-breasted Goose,Branta ruficollis,,1,
Mute Swan,Cygnus olor,,1,
Tundra Swan,Cygnus columbianus,,1,
Whooper Swan,Cygnus cygnus,,1,
Knob-billed Duck,Sarkidiornis melanotos,1,,
Ruddy Shelduck,Tadorna ferruginea,,,
Common Shelduck,Tadorna tadorna,,,
Cotton Pygmy-Goose,Nettapus coromandelianus,,,
Mandarin Duck,Aix galericulata,,1,
Baikal Teal,Sibirionetta formosa,,,
Garganey,Spatula querquedula,,,
Northern Shoveler,Spatula clypeata,,,
Gadwall,Mareca strepera,,,
Falcated Duck,Mareca falcata,,,
Eurasian Wigeon,Mareca penelope,,,
Indian Spot-billed Duck,Anas poecilorhyncha,,,
Eastern Spot-billed Duck,Anas zonorhyncha,,1,Edge of the range
Mallard,Anas platyrhynchos,,,
Northern Pintail,Anas acuta,,,
Green-winged Teal,Anas crecca,,,
Andaman Teal,Anas albogularis,,,
Marbled Teal,Marmaronetta angustirostris,,,Species of concern?
Pink-headed Duck,Rhodonessa caryophyllacea,,1,
White-winged Duck,Asarcornis scutulata,1,,
Red-crested Pochard,Netta rufina,,,
Common Pochard,Aythya ferina,,,
Ferruginous Duck,Aythya nyroca,,,
Baer's Pochard,Aythya baeri,,,
Tufted Duck,Aythya fuligula,,,
Greater Scaup,Aythya marila,,,
Long-tailed Duck,Clangula hyemalis,,1,
Common Goldeneye,Bucephala clangula,,1,
Smew,Mergellus albellus,,1,
Common Merganser,Mergus merganser,,,
Red-breasted Merganser,Mergus serrator,,1,
White-headed Duck,Oxyura leucocephala,,1,
Nicobar Scrubfowl,Megapodius nicobariensis,,,
Hill Partridge,Arborophila torqueola,,,
Chestnut-breasted Partridge,Arborophila mandellii,,,
Rufous-throated Partridge,Arborophila rufogularis,1,,
White-cheeked Partridge,Arborophila atrogularis,,,
Indian Peafowl,Pavo cristatus,,,
Green Peafowl,Pavo muticus,,1,
Red Spurfowl,Galloperdix spadicea,,,
Painted Spurfowl,Galloperdix lunulata,,,
Gray Peacock-Pheasant,Polyplectron bicalcaratum,,,
Blue-breasted Quail,Synoicus chinensis,,,
Japanese Quail,Coturnix japonica,,1,
Common Quail,Coturnix coturnix,,,
Rain Quail,Coturnix coromandelica,1,,
Chukar,Alectoris chukar,,,
Tibetan Snowcock,Tetraogallus tibetanus,,,
Himalayan Snowcock,Tetraogallus himalayensis,,,
Jungle Bush-Quail,Perdicula asiatica,,,
Rock Bush-Quail,Perdicula argoondah,,,
Painted Bush-Quail,Perdicula erythrorhyncha,,,
Manipur Bush-Quail,Perdicula manipurensis,,,
Himalayan Quail,Ophrysia superciliosa,,,
Black Francolin,Francolinus francolinus,1,,
Painted Francolin,Francolinus pictus,,,
Chinese Francolin,Francolinus pintadeanus,,1,
Gray Francolin,Francolinus pondicerianus,1,,
Swamp Francolin,Francolinus gularis,,,
Mountain Bamboo-Partridge,Bambusicola fytchii,1,,
Red Junglefowl,Gallus gallus,,,
Gray Junglefowl,Gallus sonneratii,,,
Blood Pheasant,Ithaginis cruentus,1,,
Himalayan Monal,Lophophorus impejanus,,,
Sclater's Monal,Lophophorus sclateri,,,
Snow Partridge,Lerwa lerwa,1,,
Western Tragopan,Tragopan melanocephalus,,,
Satyr Tragopan,Tragopan satyra,,,
Blyth's Tragopan,Tragopan blythii,,,
Temminck's Tragopan,Tragopan temminckii,,,
Hume's Pheasant,Syrmaticus humiae,,1,
Cheer Pheasant,Catreus wallichii,,,
Kalij Pheasant,Lophura leucomelanos,1,,
Tibetan Partridge,Perdix hodgsoniae,,,
Koklass Pheasant,Pucrasia macrolopha,1,,
Greater Flamingo,Phoenicopterus roseus,1,,
Lesser Flamingo,Phoeniconaias minor,1,,
Little Grebe,Tachybaptus ruficollis,,,
Horned Grebe,Podiceps auritus,,1,
Red-necked Grebe,Podiceps grisegena,,1,
Great Crested Grebe,Podiceps cristatus,,,
Eared Grebe,Podiceps nigricollis,,,
Rock Pigeon,Columba livia,,,
Hill Pigeon,Columba rupestris,1,,
Snow Pigeon,Columba leuconota,1,,
Pale-backed Pigeon,Columba eversmanni,1,,
Common Wood-Pigeon,Columba palumbus,,,
Speckled Wood-Pigeon,Columba hodgsonii,1,,
Ashy Wood-Pigeon,Columba pulchricollis,1,,
Nilgiri Wood-Pigeon,Columba elphinstonii,,,
Pale-capped Pigeon,Columba punicea,1,,
Andaman Wood-Pigeon,Columba palumboides,,,
European Turtle-Dove,Streptopelia turtur,,1,
Oriental Turtle-Dove,Streptopelia orientalis,,,
Eurasian Collared-Dove,Streptopelia decaocto,,,
Red Collared-Dove,Streptopelia tranquebarica,,,
Spotted Dove,Streptopelia chinensis,,,
Laughing Dove,Streptopelia senegalensis,,,
Barred Cuckoo-Dove,Macropygia unchall,,,
Andaman Cuckoo-Dove,Macropygia rufipennis,,,
Namaqua Dove,Oena capensis,,1,
Asian Emerald Dove,Chalcophaps indica,,,
