GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID, LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS637445944,11/13/2018 14:31,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,1,,,,India,IN,Tamil Nadu,IN-TN,Coimbatore,IN-TN-CO,,,,,Chinna Vedampatti Lake (à®_à®¿à®©à¯çà®©à®µà¯‡à®Ÿà®®à¯çà®ªà®Ÿà¯çà®Ÿà®¿ à®èà®°à®¿),L3997898,H,11.0694735,76.9747746,1/5/2018,11:00:00,obsr483907,S47019009,Traveling,P22,EBIRD,120,3,,1,0,,1,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS420397225,3/4/2019 2:26,2816,species,Indian Bustard,Ardeotis nigriceps,,,X,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,12/11/2011,,obsr636717,S30871755,Historical,P62,EBIRD,,,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS420397226,3/4/2019 2:26,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,X,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,12/11/2011,,obsr636717,S30871755,Historical,P62,EBIRD,,,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS105970291,3/6/2019 21:07,2816,species,Indian Bustard,Ardeotis nigriceps,,,1,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,11/25/1999,8:00:00,obsr236938,S7450728,Traveling,P22,EBIRD,540,12.875,,8,1,,0,1,1,,"Guided tour by Sunbird. Field notes provided by leader, Byron Bland",
URN:CornellLabOfOrnithology:EBIRD:OBS553047374,3/4/2019 2:26,2816,species,Indian Bustard,Ardeotis nigriceps,,,11,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,11/16/2017,8:30:00,obsr678469,S40786454,Traveling,P22,EBIRD,480,10,,2,1,,1,1,1,,,"we spotted 11, 5 within the fencing area and others outside"
URN:CornellLabOfOrnithology:EBIRD:OBS411922119,3/4/2019 2:26,2816,species,Indian Bustard,Ardeotis nigriceps,,,13,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,12/13/2011,,obsr636717,S30225927,Historical,P62,EBIRD,,,,1,1,,0,1,1,,,waaronder vliegend
URN:CornellLabOfOrnithology:EBIRD:OBS421176312,3/4/2019 2:26,2816,species,Indian Bustard,Ardeotis nigriceps,,,2,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,2/8/2010,,obsr393275,S30931306,Historical,P62,EBIRD_IND,,,,,0,,1,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS363087090,3/4/2019 2:26,2816,species,Indian Bustard,Ardeotis nigriceps,,,1,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,2/16/2008,16:00:00,obsr412106,S26634209,Traveling,P22,EBIRD,180,4.828,,1,1,,1,1,0,,Walk from camp,
URN:CornellLabOfOrnithology:EBIRD:OBS370915386,3/4/2019 2:26,2816,species,Indian Bustard,Ardeotis nigriceps,,,2,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,11/25/2005,,obsr59106,S27303822,Incidental,P20,EBIRD,,,,1,1,,0,1,0,,Afternoon Camel ride.,Rajveer spotted these two birds.
URN:CornellLabOfOrnithology:EBIRD:OBS370915651,3/4/2019 2:26,2816,species,Indian Bustard,Ardeotis nigriceps,,,2,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,11/26/2005,,obsr59106,S27303842,Incidental,P20,EBIRD,,,,1,1,,0,1,0,,A two hour Camel cart ride.,Two were seen well.
URN:CornellLabOfOrnithology:EBIRD:OBS688558851,3/4/2019 2:26,2816,species,Indian Bustard,Ardeotis nigriceps,,,4,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,2/18/2013,,obsr672397,S50874389,Historical,P62,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS480289167,3/4/2019 2:26,2816,species,Indian Bustard,Ardeotis nigriceps,,,2,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,3/19/2017,6:30:00,obsr667417,S35553358,Traveling,P22,EBIRD,135,3.5,,4,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS420482626,3/4/2019 2:26,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,X,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,12/12/2011,,obsr636717,S30878235,Historical,P62,EBIRD,,,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS424266979,2/25/2019 13:06,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,1,,,,India,IN,Karnataka,IN-KA,Bellary,IN-KA-BL,,,,,Daroji Bear Sanctuary,L2607098,H,15.2669631,76.6070652,3/15/2015,,obsr789008,S31160893,Historical,P62,EBIRD,,,,2,1,,1,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS289676497,11/13/2018 14:28,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,2,,,,India,IN,Karnataka,IN-KA,Bellary,IN-KA-BL,,,,,Daroji Bear Sanctuary,L2607098,H,15.2669631,76.6070652,1/4/2015,16:30:00,obsr447642,S21237282,Traveling,P22,EBIRD,90,1,,4,1,,0,1,0,,"+ Paul & Fi, Farah & Minla. Saw 3 Sloth Bears!",
