Common Name,Scientific Name,IUCN
Common Ostrich,Struthio camelus,LC
Somali Ostrich,Struthio molybdophanes,VU
,Struthio camelus,NR
Greater Rhea,Rhea americana,NT
Lesser Rhea,Rhea pennata,LC
Puna Rhea,Rhea tarapacensis,NT
,Rhea pennata,NR
,Rhea nana,NR
,Pterocnemia tarapacensis,NR
Tawny-breasted Tinamou,Nothocercus julius,LC
Highland Tinamou,Nothocercus bonapartei,LC
Hooded Tinamou,Nothocercus nigrocapillus,VU
Grey Tinamou,Tinamus tao,VU
Solitary Tinamou,Tinamus solitarius,NT
Black Tinamou,Tinamus osgoodi,VU
Great Tinamou,Tinamus major,NT
White-throated Tinamou,Tinamus guttatus,NT
Berlepsch's Tinamou,Crypturellus berlepschi,LC
Cinereous Tinamou,Crypturellus cinereus,LC
Tepui Tinamou,Crypturellus ptaritepui,LC
Little Tinamou,Crypturellus soui,LC
Brown Tinamou,Crypturellus obsoletus,LC
Undulated Tinamou,Crypturellus undulatus,LC
Brazilian Tinamou,Crypturellus strigulosus,LC
Grey-legged Tinamou,Crypturellus duidae,NT
Red-legged Tinamou,Crypturellus erythropus,LC
Yellow-legged Tinamou,Crypturellus noctivagus,NT
Black-capped Tinamou,Crypturellus atrocapillus,NT
Western Thicket Tinamou,Crypturellus occidentalis,LC
Eastern Thicket Tinamou,Crypturellus cinnamomeus,LC
Pale-browed Tinamou,Crypturellus transfasciatus,NT
Slaty-breasted Tinamou,Crypturellus boucardi,LC
Choco Tinamou,Crypturellus kerriae,VU
Variegated Tinamou,Crypturellus variegatus,LC
Rusty Tinamou,Crypturellus brevirostris,LC
Bartlett's Tinamou,Crypturellus bartletti,LC
Barred Tinamou,Crypturellus casiquiare,LC
Small-billed Tinamou,Crypturellus parvirostris,LC
Tataupa Tinamou,Crypturellus tataupa,LC
,Crypturellus idoneus,NR
,Crypturellus columbianus,NR
,Crypturellus saltuarius,NR
,Crypturellus cinnamomeus,NR
,Crypturellus erythropus,NR
Red-winged Tinamou,Rhynchotus rufescens,LC
Huayco Tinamou,Rhynchotus maculicollis,LC
,Rhynchotus rufescens,NR
Taczanowski's Tinamou,Nothoprocta taczanowskii,VU
Ornate Tinamou,Nothoprocta ornata,LC
Chilean Tinamou,Nothoprocta perdicaria,LC
Brushland Tinamou,Nothoprocta cinerascens,LC
Andean Tinamou,Nothoprocta pentlandii,LC
Curve-billed Tinamou,Nothoprocta curvirostris,LC
,Nothoprocta kalinowskii,NR
White-bellied Nothura,Nothura boraquira,LC
Lesser Nothura,Nothura minor,VU
Darwin's Nothura,Nothura darwinii,LC
Spotted Nothura,Nothura maculosa,LC
,Nothura maculosa,NR
,Nothura chacoensis,NR
Dwarf Tinamou,Taoniscus nanus,EN
Elegant Crested Tinamou,Eudromia elegans,LC
