Rank,eBird Scientific Name 2019,Scientific Name
species,Struthio camelus,Struthio camelus
ssp,Struthio camelus syriacus,
ssp,Struthio camelus camelus,
ssp,Struthio camelus massaicus,
ssp,Struthio camelus australis,
species,Struthio molybdophanes,Struthio molybdophanes
ssp,,
species,Rhea americana,Rhea americana
ssp,Rhea americana americana,
ssp,Rhea americana intermedia,
ssp,Rhea americana nobilis,
ssp,Rhea americana araneipes,
ssp,Rhea americana albescens,
species,Rhea pennata,Rhea pennata
ssp,Rhea pennata garleppi,
species,,Rhea tarapacensis
ssp,Rhea pennata tarapacensis,
ssp,Rhea pennata pennata,
species,Apteryx australis,Apteryx australis
ssp,Apteryx australis australis,
ssp,Apteryx australis lawryi,
species,Apteryx mantelli,Apteryx mantelli
ssp,,
species,Apteryx rowi,Apteryx rowi
species,Apteryx owenii,Apteryx owenii
species,Apteryx haastii,Apteryx haastii
species,Casuarius casuarius,Casuarius casuarius
species,Casuarius bennetti,Casuarius bennetti
ssp,,
ssp,,
species,Casuarius unappendiculatus,Casuarius unappendiculatus
species,Dromaius novaehollandiae,Dromaius novaehollandiae
ssp,Dromaius novaehollandiae novaehollandiae,
ssp,Dromaius novaehollandiae diemenensis,
species,,Dromaius minor
ssp,Dromaius novaehollandiae minor,
species,,Dromaius baudinianus
ssp,Dromaius novaehollandiae baudinianus,
species,Tinamus tao,Tinamus tao
ssp,Tinamus tao larensis,
ssp,Tinamus tao septentrionalis,
ssp,Tinamus tao tao,
ssp,Tinamus tao kleei,
species,Tinamus solitarius,Tinamus solitarius
ssp,,
ssp,,
species,Tinamus osgoodi,Tinamus osgoodi
ssp,Tinamus osgoodi hershkovitzi,
ssp,Tinamus osgoodi osgoodi,
species,Tinamus major,Tinamus major
ssp,Tinamus major robustus,
ssp,Tinamus major percautus,
ssp,Tinamus major fuscipennis,
ssp,Tinamus major brunneiventris,
ssp,Tinamus major castaneiceps,
ssp,Tinamus major saturatus,
ssp,Tinamus major zuliensis,
ssp,Tinamus major latifrons,
ssp,Tinamus major major,
ssp,Tinamus major serratus,
ssp,Tinamus major olivascens,
ssp,Tinamus major peruvianus,
species,Tinamus guttatus,Tinamus guttatus
species,Nothocercus bonapartei,Nothocercus bonapartei
ssp,Nothocercus bonapartei frantzii,
ssp,Nothocercus bonapartei bonapartei,
ssp,Nothocercus bonapartei intercedens,
ssp,Nothocercus bonapartei discrepans,
ssp,Nothocercus bonapartei plumbeiceps,
species,Nothocercus julius,Nothocercus julius
species,Nothocercus nigrocapillus,Nothocercus nigrocapillus
ssp,Nothocercus nigrocapillus cadwaladeri,
ssp,Nothocercus nigrocapillus nigrocapillus,
species,Crypturellus berlepschi,Crypturellus berlepschi
species,Crypturellus cinereus,Crypturellus cinereus
species,Crypturellus soui,Crypturellus soui
ssp,Crypturellus soui meserythrus,
ssp,Crypturellus soui modestus,
ssp,Crypturellus soui capnodes,
ssp,Crypturellus soui poliocephalus,
ssp,Crypturellus soui panamensis,
ssp,Crypturellus soui mustelinus,
ssp,Crypturellus soui soui,
ssp,Crypturellus soui andrei,
ssp,Crypturellus soui caucae,
ssp,Crypturellus soui harterti,
ssp,Crypturellus soui caquetae,
ssp,Crypturellus soui nigriceps,
ssp,Crypturellus soui albigularis,
ssp,Crypturellus soui inconspicuus,
species,Crypturellus ptaritepui,Crypturellus ptaritepui
species,Crypturellus obsoletus,Crypturellus obsoletus
ssp,Crypturellus obsoletus cerviniventris,
ssp,Crypturellus obsoletus knoxi,
ssp,Crypturellus obsoletus castaneus,
ssp,Crypturellus obsoletus ochraceiventris,
ssp,Crypturellus obsoletus traylori,
ssp,Crypturellus obsoletus punensis,
ssp,Crypturellus obsoletus griseiventris,
ssp,Crypturellus obsoletus hypochraceus,
ssp,Crypturellus obsoletus obsoletus,
species,Crypturellus undulatus,Crypturellus undulatus
ssp,Crypturellus undulatus manapiare,
ssp,Crypturellus undulatus simplex,
ssp,Crypturellus undulatus yapura,
ssp,Crypturellus undulatus adspersus,
ssp,Crypturellus undulatus vermiculatus,
ssp,Crypturellus undulatus undulatus,
species,Crypturellus transfasciatus,Crypturellus transfasciatus
species,Crypturellus strigulosus,Crypturellus strigulosus
species,Crypturellus duidae,Crypturellus duidae
species,Crypturellus erythropus,Crypturellus erythropus
ssp,Crypturellus erythropus cursitans,
ssp,Crypturellus erythropus idoneus,
ssp,Crypturellus erythropus columbianus,
ssp,Crypturellus erythropus saltuarius,
ssp,Crypturellus erythropus spencei,
