"composite","groups","species"
"composite-diet","Fruit-Nectar","Yellow-legged Green Pigeon"
"composite-diet","Fruit-Nectar","Mountain Imperial Pigeon"
"composite-diet","Fruit-Nectar","Asian Koel"
"composite-diet","Fruit-Nectar","Malabar Grey Hornbill"
"composite-diet","Fruit-Nectar","Malabar Barbet"
"composite-diet","Fruit-Nectar","Coppersmith Barbet"
"composite-diet","Fruit-Nectar","Plum-headed Parakeet"
"composite-diet","Fruit-Nectar","Rose-ringed Parakeet"
"composite-diet","Fruit-Nectar","Black-hooded Oriole"
"composite-diet","Fruit-Nectar","Thick-billed Flowerpecker"
"composite-diet","Fruit-Nectar","Pale-billed Flowerpecker"
"composite-diet","Fruit-Nectar","Nilgiri Flowerpecker"
"composite-diet","Fruit-Nectar","Purple-rumped Sunbird"
"composite-diet","Fruit-Nectar","Crimson-backed Sunbird"
"composite-diet","Fruit-Nectar","Purple Sunbird"
"composite-diet","Fruit-Nectar","Loten's Sunbird"
"composite-diet","Fruit-Nectar","Asian Fairy-bluebird"
"composite-diet","Fruit-Nectar","Golden-fronted Leafbird"
"composite-diet","Fruit-Nectar","Jerdon's Leafbird"
"composite-diet","Fruit-Nectar","Square-tailed Bulbul"
"composite-diet","Fruit-Nectar","Flame-throated Bulbul"
"composite-diet","Invertebrate","Crested Treeswift"
"composite-diet","Invertebrate","White-rumped Spinetail"
"composite-diet","Invertebrate","Brown-backed Needletail"
"composite-diet","Invertebrate","Himalayan Swiftlet"
"composite-diet","Invertebrate","Asian Palm Swift"
"composite-diet","Invertebrate","Alpine Swift"
"composite-diet","Invertebrate","Indian House Swift"
"composite-diet","Invertebrate","Sirkeer Malkoha"
"composite-diet","Invertebrate","Pied Cuckoo"
"composite-diet","Invertebrate","Banded Bay Cuckoo"
"composite-diet","Invertebrate","Common Hawk Cuckoo"
"composite-diet","Invertebrate","Indian Cuckoo"
"composite-diet","Invertebrate","Common Cuckoo"
"composite-diet","Invertebrate","Indian Thick-knee"
"composite-diet","Invertebrate","Little Ringed Plover"
"composite-diet","Invertebrate","Yellow-wattled Lapwing"
"composite-diet","Invertebrate","Red-wattled Lapwing"
"composite-diet","Invertebrate","Indian Courser"
"composite-diet","Invertebrate","Malabar Trogon"
"composite-diet","Invertebrate","Common Hoopoe"
"composite-diet","Invertebrate","Heart-spotted Woodpecker"
"composite-diet","Invertebrate","Himalayan Golden-backed Woodpecker"
"composite-diet","Invertebrate","Lesser Golden-backed Woodpecker"
"composite-diet","Invertebrate","Rufous Woodpecker"
"composite-diet","Invertebrate","White-bellied Woodpecker"
"composite-diet","Invertebrate","Greater Golden-backed Woodpecker"
"composite-diet","Invertebrate","White-naped Woodpecker"
"composite-diet","Invertebrate","Brown-capped Pygmy Woodpecker"
"composite-diet","Invertebrate","Yellow-fronted Pied Woodpecker"
"composite-diet","Invertebrate","Green Bee-eater"
"composite-diet","Invertebrate","Small Minivet"
"composite-diet","Invertebrate","Large Cuckooshrike"
"composite-diet","Invertebrate","Black-headed Cuckooshrike"
"composite-diet","Invertebrate","Ashy Woodswallow"
"composite-diet","Invertebrate","Bar-winged Flycatcher-shrike"
"composite-diet","Invertebrate","Malabar Woodshrike"
"composite-diet","Invertebrate","Common Woodshrike"
"composite-diet","Invertebrate","Common Iora"
"composite-diet","Invertebrate","Ashy Drongo"
"composite-diet","Invertebrate","White-bellied Drongo"
"composite-diet","Invertebrate","Bronzed Drongo"
"composite-diet","Invertebrate","Greater Racket-tailed Drongo"
"composite-diet","Invertebrate","White-browed Fantail"
"composite-diet","Invertebrate","Brown Shrike"
"composite-diet","Invertebrate","Bay-backed Shrike"
"composite-diet","Invertebrate","Long-tailed Shrike"
"composite-diet","Invertebrate","Black-naped Monarch"
"composite-diet","Invertebrate","Indian Paradise-flycatcher"
"composite-diet","Invertebrate","Forest Wagtail"
"composite-diet","Invertebrate","Olive-backed Pipit"
"composite-diet","Invertebrate","Richard's Pipit"
"composite-diet","Invertebrate","Paddyfield Pipit"
"composite-diet","Invertebrate","Tawny Pipit"
"composite-diet","Invertebrate","Western Yellow Wagtail"
"composite-diet","Invertebrate","Grey Wagtail"
"composite-diet","Invertebrate","White-browed Wagtail"
"composite-diet","Invertebrate","White Wagtail"
"composite-diet","Invertebrate","Grey-headed Canary-flycatcher"
"composite-diet","Invertebrate","Yellow-browed Tit"
"composite-diet","Invertebrate","Indian Yellow Tit"
"composite-diet","Invertebrate","Sand Lark"
"composite-diet","Invertebrate","Zitting Cisticola"
"composite-diet","Invertebrate","Rufous-fronted Prinia"
"composite-diet","Invertebrate","Grey-breasted Prinia"
"composite-diet","Invertebrate","Jungle Prinia"
"composite-diet","Invertebrate","Ashy Prinia"
"composite-diet","Invertebrate","Plain Prinia"
"composite-diet","Invertebrate","Common Tailorbird"
"composite-diet","Invertebrate","Streak-throated Swallow"
"composite-diet","Invertebrate","Red-rumped Swallow"
"composite-diet","Invertebrate","Wire-tailed Swallow"
"composite-diet","Invertebrate","Barn Swallow"
"composite-diet","Invertebrate","Eurasian Crag Martin"
"composite-diet","Invertebrate","Dusky Crag Martin"
"composite-diet","Invertebrate","Grey-throated Martin"
"composite-diet","Invertebrate","Lemon-rumped Warbler"
"composite-diet","Invertebrate","Common Chiffchaff"
"composite-diet","Invertebrate","Greenish Leaf Warbler"
"composite-diet","Invertebrate","Large-billed Leaf Warbler"
"composite-diet","Invertebrate","Western Crowned Leaf Warbler"
"composite-diet","Invertebrate","Yellow-eyed Babbler"
"composite-diet","Invertebrate","Indian Scimitar Babbler"
"composite-diet","Invertebrate","Tawny-bellied Babbler"
"composite-diet","Invertebrate","Dark-fronted Babbler"
"composite-diet","Invertebrate","Puff-throated Babbler"
"composite-diet","Invertebrate","Quaker Tit Babbler"
"composite-diet","Invertebrate","Large Grey Babbler"
