Long.Term.Status,Current.Status,Range.Status,Concern.Status
Strong Decline,Strong Decline,Very Restricted,High
Moderate Decline,Strong Decline,Very Restricted,High
Data Deficient,Strong Decline,Very Restricted,High
Uncertain,Strong Decline,Very Restricted,High
Stable,Strong Decline,Very Restricted,High
Moderate Increase,Strong Decline,Very Restricted,High
Strong Increase,Strong Decline,Very Restricted,High
Strong Decline,Moderate Decline,Very Restricted,High
Moderate Decline,Moderate Decline,Very Restricted,High
Data Deficient,Moderate Decline,Very Restricted,High
Uncertain,Moderate Decline,Very Restricted,High
Stable,Moderate Decline,Very Restricted,Moderate
Moderate Increase,Moderate Decline,Very Restricted,Moderate
Strong Increase,Moderate Decline,Very Restricted,Moderate
Data Deficient,Data Deficient,Very Restricted,High
Strong Decline,Uncertain,Very Restricted,High
Moderate Decline,Uncertain,Very Restricted,High
Data Deficient,Uncertain,Very Restricted,High
Uncertain,Uncertain,Very Restricted,High
Stable,Uncertain,Very Restricted,Moderate
Moderate Increase,Uncertain,Very Restricted,Moderate
Strong Increase,Uncertain,Very Restricted,Moderate
Strong Decline,Stable,Very Restricted,High
Moderate Decline,Stable,Very Restricted,High
Data Deficient,Stable,Very Restricted,Moderate
Uncertain,Stable,Very Restricted,Moderate
Stable,Stable,Very Restricted,Low
Moderate Increase,Stable,Very Restricted,Low
Strong Increase,Stable,Very Restricted,Low
Strong Decline,Moderate Increase,Very Restricted,High
Moderate Decline,Moderate Increase,Very Restricted,High
Data Deficient,Moderate Increase,Very Restricted,Moderate
Uncertain,Moderate Increase,Very Restricted,Moderate
Stable,Moderate Increase,Very Restricted,Low
Moderate Increase,Moderate Increase,Very Restricted,Low
Strong Increase,Moderate Increase,Very Restricted,Low
Strong Decline,Strong Increase,Very Restricted,High
Moderate Decline,Strong Increase,Very Restricted,High
Data Deficient,Strong Increase,Very Restricted,Moderate
Uncertain,Strong Increase,Very Restricted,Moderate
Stable,Strong Increase,Very Restricted,Low
Moderate Increase,Strong Increase,Very Restricted,Low
Strong Increase,Strong Increase,Very Restricted,Low
Strong Decline,Strong Decline,Restricted,High
Moderate Decline,Strong Decline,Restricted,High
Data Deficient,Strong Decline,Restricted,High
Uncertain,Strong Decline,Restricted,High
Stable,Strong Decline,Restricted,High
Moderate Increase,Strong Decline,Restricted,Moderate
Strong Increase,Strong Decline,Restricted,Moderate
Strong Decline,Moderate Decline,Restricted,High
Moderate Decline,Moderate Decline,Restricted,High
Data Deficient,Moderate Decline,Restricted,High
Uncertain,Moderate Decline,Restricted,High
Stable,Moderate Decline,Restricted,Moderate
Moderate Increase,Moderate Decline,Restricted,Moderate
Strong Increase,Moderate Decline,Restricted,Moderate
Data Deficient,Data Deficient,Restricted,Moderate
Strong Decline,Uncertain,Restricted,High
Moderate Decline,Uncertain,Restricted,High
Data Deficient,Uncertain,Restricted,Moderate
Uncertain,Uncertain,Restricted,Moderate
Stable,Uncertain,Restricted,Low
Moderate Increase,Uncertain,Restricted,Low
Strong Increase,Uncertain,Restricted,Low
Strong Decline,Stable,Restricted,Moderate
Moderate Decline,Stable,Restricted,Moderate
Data Deficient,Stable,Restricted,Low
Uncertain,Stable,Restricted,Low
Stable,Stable,Restricted,Low
Moderate Increase,Stable,Restricted,Low
Strong Increase,Stable,Restricted,Low
Strong Decline,Moderate Increase,Restricted,Moderate
Moderate Decline,Moderate Increase,Restricted,Moderate
Data Deficient,Moderate Increase,Restricted,Low
Uncertain,Moderate Increase,Restricted,Low
Stable,Moderate Increase,Restricted,Low
Moderate Increase,Moderate Increase,Restricted,Low
Strong Increase,Moderate Increase,Restricted,Low
Strong Decline,Strong Increase,Restricted,Moderate
Moderate Decline,Strong Increase,Restricted,Moderate
Data Deficient,Strong Increase,Restricted,Low
Uncertain,Strong Increase,Restricted,Low
Stable,Strong Increase,Restricted,Low
Moderate Increase,Strong Increase,Restricted,Low
Strong Increase,Strong Increase,Restricted,Low
Data Deficient,Data Deficient,Data Deficient,High
Data Deficient,Uncertain,Data Deficient,High
Strong Decline,Strong Decline,Moderate,High
Moderate Decline,Strong Decline,Moderate,Moderate
Data Deficient,Strong Decline,Moderate,Moderate
Uncertain,Strong Decline,Moderate,Moderate
Stable,Strong Decline,Moderate,Moderate
Moderate Increase,Strong Decline,Moderate,Moderate
Strong Increase,Strong Decline,Moderate,Moderate
Strong Decline,Moderate Decline,Moderate,High
Moderate Decline,Moderate Decline,Moderate,Moderate
Data Deficient,Moderate Decline,Moderate,Moderate
Uncertain,Moderate Decline,Moderate,Moderate
Stable,Moderate Decline,Moderate,Moderate
Moderate Increase,Moderate Decline,Moderate,Moderate
Strong Increase,Moderate Decline,Moderate,Low
Data Deficient,Data Deficient,Moderate,Moderate
Strong Decline,Uncertain,Moderate,Moderate
Moderate Decline,Uncertain,Moderate,Moderate
Data Deficient,Uncertain,Moderate,Low
Uncertain,Uncertain,Moderate,Low
Stable,Uncertain,Moderate,Low
Moderate Increase,Uncertain,Moderate,Low
Strong Increase,Uncertain,Moderate,Low
Strong Decline,Stable,Moderate,Moderate
Moderate Decline,Stable,Moderate,Moderate
Data Deficient,Stable,Moderate,Low
Uncertain,Stable,Moderate,Low
