"ST_NM","DISTRICT","region"
"Punjab","Tarn Taran","Plains"
"Kerala","Thrissur","Coast"
"Kerala","Idukki","WGhats"
"Kerala","Thiruvananthapuram","Coast"
"Goa","North Goa","Coast"
"Uttar Pradesh","Lucknow","Plains"
"Kerala","Alappuzha","Plains"
"Tamil Nadu","Coimbatore","WGhats"
"Kerala","Kollam","Coast"
"Kerala","Ernakulam","Coast"
NA,NA,"Plains"
"Meghalaya","South Garo Hills","Plains"
"Karnataka","Bangalore","Plains"
"Andaman & Nicobar Island","South Andaman","Island"
"Karnataka","Mysore","Plains"
"Tamil Nadu","Tirunelveli","Plains"
"Kerala","Palakkad","WGhats"
"Kerala","Pathanamthitta","WGhats"
"Tamil Nadu","Kancheepuram","Coast"
"Tamil Nadu","Chennai","Coast"
"Tamil Nadu","Thoothukkudi","Coast"
"Karnataka","Udupi","Coast"
"Uttar Pradesh","Gautam Buddha Nagar","Plains"
"Uttarakhand","Nainital","Plains"
"Uttarakhand","Almora","Plains"
"Tamil Nadu","Salem","WGhats"
"NCT of Delhi","South West","Plains"
"Haryana","Gurgaon","Plains"
"Mizoram","Mamit","Plains"
"Karnataka","Bijapur","Plains"
"Himachal Pradesh","Shimla","Plains"
"Karnataka","Bangalore Rural","Plains"
"Karnataka","Chikkaballapura","Plains"
"Karnataka","Chamrajnagar","WGhats"
"Uttarakhand","Chamoli","Plains"
"Karnataka","Mandya","Plains"
"Assam","Golaghat","Plains"
"Nagaland","Wokha","Plains"
"Andaman & Nicobar Island","North & Middle Andaman","Island"
"Tamil Nadu","Virudunagar","Plains"
"Meghalaya","East Khasi Hills","Plains"
"Meghalaya","Ri Bhoi","Plains"
"Assam","Kamrup","Plains"
"Assam","Kamrup Metropolitan","Plains"
"Tamil Nadu","Viluppuram","Coast"
"Puducherry","Puducherry","Coast"
"Assam","Marigaon","Plains"
"Assam","Baksa","Plains"
"Karnataka","Kodagu","WGhats"
"Karnataka","Chikmagalur","WGhats"
"Karnataka","Hassan","WGhats"
"Uttarakhand","Dehradun","Plains"
"Maharashtra","Kolhapur","WGhats"
"Kerala","Malappuram","Plains"
"Goa","South Goa","Coast"
"Maharashtra","Sindhudurg","WGhats"
"Maharashtra","Satara","WGhats"
"Maharashtra","Raigarh","Coast"
"Maharashtra","Pune","WGhats"
"Maharashtra","Mumbai","Coast"
"Maharashtra","Thane","Coast"
"Maharashtra","Mumbai Suburban","Coast"
"Maharashtra","Ahmadnagar","Plains"
"Karnataka","Shimoga","WGhats"
"Karnataka","Dakshina Kannada","WGhats"
"Karnataka","Uttara Kannada","WGhats"
"Maharashtra","Buldana","Plains"
"Maharashtra","Aurangabad","Plains"
"Kerala","Kannur","Coast"
"Kerala","Wayanad","WGhats"
"Kerala","Kozhikode","Coast"
"Tamil Nadu","Dindigul","WGhats"
"Arunanchal Pradesh","Changlang","Plains"
"Assam","Sonitpur","Plains"
"Kerala","Kasaragod","Coast"
"Karnataka","Belgaum","Plains"
"Gujarat","Mahesana","Plains"
"Jammu & Kashmir","Leh (ladakh)","Trans-Himalaya"
"Uttarakhand","Uttarkashi","Plains"
"Jammu & Kashmir","Kargil","Trans-Himalaya"
"Uttarakhand","Hardwar","Plains"
"Uttarakhand","Garhwal","Plains"
"Gujarat","Ahmadabad","Coast"
"Gujarat","Surendranagar","Coast"
"Rajasthan","Udaipur","Plains"
"Tamil Nadu","Tiruppur","Plains"
"Rajasthan","Bharatpur","Plains"
"Rajasthan","Jaipur","Plains"
"Arunanchal Pradesh","East Kameng","Plains"
"Arunanchal Pradesh","West Kameng","Plains"
"Madhya Pradesh","Umaria","Plains"
"Tamil Nadu","Ramanathapuram","Coast"
"Mizoram","Aizawl","Plains"
"Himachal Pradesh","Kangra","Plains"
"Punjab","Fatehgarh Sahib","Plains"
"Karnataka","Kolar","Plains"
"Kerala","Kottayam","Coast"
"Telangana","Medak","Plains"
"Telangana","Hyderabad","Plains"
"Telangana","Rangareddy","Plains"
"Rajasthan","Alwar","Plains"
"Rajasthan","Pratapgarh","Plains"
"Rajasthan","Bikaner","Desert"
"Jammu & Kashmir","Srinagar","Himalaya"
"Tamil Nadu","Theni","WGhats"
"Andhra Pradesh","Kurnool","Plains"
"Karnataka","Ramanagara","Plains"
"Himachal Pradesh","Kullu","Plains"
"Uttar Pradesh","Unnao","Plains"
"Jammu & Kashmir","Samba","Plains"
