"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Subcontinental Endemics","Himalayan/NE Near-Endemics","Significant - Indian Context","Not Relevant - Indian Context","Diurnal","Selected - SOIB"
"Fulvous Whistling Duck","Dendrocygna bicolor","","X","","","X","","X","X"
"Lesser Whistling Duck","Dendrocygna javanica","X","X","","","","","X","X"
"Bar-headed Goose","Anser indicus","X","X","","","X","","X","X"
"Greylag Goose","Anser anser","X","X","","","","","X","X"
"Greater White-fronted Goose","Anser albifrons","","","","","","X","X",""
"Lesser White-fronted Goose","Anser erythropus","","","","","","X","X",""
"Taiga Bean-Goose","Anser fabalis","","","","","","X","X",""
"Tundra Bean-Goose","Anser serrirostris","","","","","","X","X",""
"Red-breasted Goose","Branta ruficollis","","","","","","X","",""
"Mute Swan","Cygnus olor","","","","","","X","X",""
"Tundra Swan","Cygnus columbianus","","","","","","X","",""
"Whooper Swan","Cygnus cygnus","","","","","","X","",""
"Comb Duck","Sarkidiornis melanotos","X","X","","","X","","X","X"
"Ruddy Shelduck","Tadorna ferruginea","X","X","","","","","X","X"
"Common Shelduck","Tadorna tadorna","","","","","","","X",""
"Cotton Teal","Nettapus coromandelianus","X","X","","","","","X","X"
"Mandarin Duck","Aix galericulata","","","","","","X","X",""
"Baikal Teal","Sibirionetta formosa","","","","","","","X",""
"Garganey","Spatula querquedula","X","X","","","","","X","X"
"Northern Shoveler","Spatula clypeata","X","X","","","","","X","X"
"Gadwall","Mareca strepera","X","X","","","","","X","X"
"Falcated Duck","Mareca falcata","","","","","","","X",""
"Eurasian Wigeon","Mareca penelope","X","X","","","","","X","X"
"Indian Spot-billed Duck","Anas poecilorhyncha","X","X","","","","","X","X"
"Chinese Spot-billed Duck","Anas zonorhyncha","","","","","","X","X",""
"Mallard","Anas platyrhynchos","X","X","","","","","X","X"
"Northern Pintail","Anas acuta","X","X","","","","","X","X"
"Common Teal","Anas crecca","X","X","","","","","X","X"
"Andaman Teal","Anas albogularis","","","X","","","","X","X"
"Marbled Teal","Marmaronetta angustirostris","","","","","","","X",""
"Pink-headed Duck","Rhodonessa caryophyllacea","","","","","","X","",""
"White-winged Wood Duck","Asarcornis scutulata","","","","","X","","X","X"
"Red-crested Pochard","Netta rufina","X","X","","","","","X","X"
"Common Pochard","Aythya ferina","X","X","","","","","X","X"
"Ferruginous Duck","Aythya nyroca","X","X","","","","","X","X"
"Baer's Pochard","Aythya baeri","","","","","","","X",""
"Tufted Duck","Aythya fuligula","X","X","","","","","X","X"
"Greater Scaup","Aythya marila","","","","","","","X",""
"Long-tailed Duck","Clangula hyemalis","","","","","","X","",""
"Common Goldeneye","Bucephala clangula","","","","","","X","X",""
"Smew","Mergellus albellus","","","","","","X","X",""
"Common Merganser","Mergus merganser","","X","","","","","X","X"
"Red-breasted Merganser","Mergus serrator","","","","","","X","X",""
"White-headed Duck","Oxyura leucocephala","","","","","","X","",""
"Nicobar Megapode","Megapodius nicobariensis","","","X","","","","X","X"
"Common Hill Partridge","Arborophila torqueola","","X","","X","","","X","X"
"Chestnut-breasted Hill Partridge","Arborophila mandellii","","","X","X","","","X","X"
"Rufous-throated Hill Partridge","Arborophila rufogularis","","","","","X","","X","X"
"White-cheeked Hill Partridge","Arborophila atrogularis","","","","X","","","X","X"
"Indian Peafowl","Pavo cristatus","X","X","X","","","","X","X"
"Green Peafowl","Pavo muticus","","","","","","X","X",""
"Red Spurfowl","Galloperdix spadicea","X","X","X","","","","X","X"
"Painted Spurfowl","Galloperdix lunulata","X","X","X","","","","X","X"
"Grey Peacock Pheasant","Polyplectron bicalcaratum","","","","","","","X",""
"Blue-breasted Quail","Synoicus chinensis","","","","","","","X",""
"Japanese Quail","Coturnix japonica","","","","","","X","",""
"Common Quail","Coturnix coturnix","","","","","","","X",""
"Rain Quail","Coturnix coromandelica","X","X","","","X","","X","X"
"Chukar Partridge","Alectoris chukar","","X","","","","","X","X"
"Tibetan Snowcock","Tetraogallus tibetanus","","","","","","","X",""
"Himalayan Snowcock","Tetraogallus himalayensis","","","","X","","","X","X"
"Jungle Bush Quail","Perdicula asiatica","X","X","X","","","","X","X"
"Rock Bush Quail","Perdicula argoondah","","X","X","","","","X","X"
"Painted Bush Quail","Perdicula erythrorhyncha","","","X","","","","X","X"
"Manipur Bush Quail","Perdicula manipurensis","","","X","","","","X","X"
"Himalayan Quail","Ophrysia superciliosa","","","X","X","","","X","X"
"Black Francolin","Francolinus francolinus","X","X","","","X","","X","X"
"Painted Francolin","Francolinus pictus","","X","X","","","","X","X"
"Chinese Francolin","Francolinus pintadeanus","","","","","","X","X",""
"Grey Francolin","Francolinus pondicerianus","X","X","","","X","","X","X"
"Swamp Francolin","Francolinus gularis","","","X","","","","X","X"
"Mountain Bamboo Partridge","Bambusicola fytchii","","","","","X","","X","X"
"Red Junglefowl","Gallus gallus","X","X","","","","","X","X"
"Grey Junglefowl","Gallus sonneratii","X","X","X","","","","X","X"
