"Common.Name","Scientific.Name","IUCN","WLPA.Schedule","Long.Term.Status","Current.Status","Range.Status","Concern.Status"
"Cotton Teal","Nettapus coromandelianus","Least Concern","Schedule-IV","Strong Decline","Strong Decline","Very Large","High"
"Andaman Teal","Anas albogularis","Vulnerable","Schedule-I","Data Deficient","Data Deficient","Restricted","High"
"White-winged Wood Duck","Asarcornis scutulata","Endangered","Schedule-I","Data Deficient","Data Deficient","Restricted","High"
"Nicobar Megapode","Megapodius nicobariensis","Vulnerable","Schedule-I","Data Deficient","Data Deficient","Restricted","High"
"Chestnut-breasted Hill Partridge","Arborophila mandellii","Vulnerable","Schedule-IV","Data Deficient","Data Deficient","Restricted","High"
"Manipur Bush Quail","Perdicula manipurensis","Endangered","Schedule-IV","Data Deficient","Data Deficient","Data Deficient","High"
"Himalayan Quail","Ophrysia superciliosa","Critically Endangered","Schedule-I","Data Deficient","Data Deficient","Data Deficient","High"
"Swamp Francolin","Francolinus gularis","Vulnerable","Schedule-IV","Data Deficient","Data Deficient","Restricted","High"
"Sclater's Monal","Lophophorus sclateri","Vulnerable","Schedule-I","Data Deficient","Data Deficient","Very Restricted","High"
"Western Tragopan","Tragopan melanocephalus","Vulnerable","Schedule-I","Data Deficient","Data Deficient","Very Restricted","High"
"Blyth's Tragopan","Tragopan blythii","Vulnerable","Schedule-I","Data Deficient","Data Deficient","Restricted","High"
"Cheer Pheasant","Catreus wallichii","Vulnerable","Schedule-I","Data Deficient","Data Deficient","Restricted","High"
"Yellow-eyed Pigeon","Columba eversmanni","Vulnerable","Schedule-IV","Data Deficient","Data Deficient","Restricted","High"
"Pale-capped Pigeon","Columba punicea","Vulnerable","Schedule-IV","Data Deficient","Data Deficient","Restricted","High"
"Andaman Green Pigeon","Treron chloropterus","Near Threatened","Schedule-IV","Data Deficient","Strong Decline","Restricted","High"
"Great Indian Bustard","Ardeotis nigriceps","Critically Endangered","Schedule-I","Data Deficient","Data Deficient","Restricted","High"
"Bengal Florican","Houbaropsis bengalensis","Critically Endangered","Schedule-I","Data Deficient","Data Deficient","Restricted","High"
"Lesser Florican","Sypheotides indicus","Endangered","Schedule-I","Data Deficient","Data Deficient","Restricted","High"
"Glossy Swiftlet","Collocalia esculenta","Least Concern","Schedule-IV","Data Deficient","Uncertain","Very Restricted","High"
"Dark-rumped Swift","Apus acuticauda","Vulnerable","Schedule-IV","Data Deficient","Data Deficient","Restricted","High"
