"COMMON.NAME","SCIENTIFIC.NAME"
"Pale-legged Leaf Warbler","Phylloscopus tenellipes"
"Siberian Thrush","Geokichla sibirica"
"Andaman Bulbul","Brachypodius fuscoflavescens"
"Andaman Coucal","Centropus andamanensis"
"Andaman Crake","Rallina canningi"
"Andaman Drongo","Dicrurus andamanensis"
"Andaman Flowerpecker","Dicaeum virescens"
"Andaman Treepie","Dendrocitta bayleii"
"Andaman Woodpecker","Dryocopus hodgei"
"Andaman Serpent-Eagle","Spilornis elgini"
"Asian Fairy-bluebird","Irena puella"
"Asian Glossy Starling","Aplonis panayensis"
"Asian Koel","Eudynamys scolopaceus"
"Beach Thick-knee","Esacus magnirostris"
"Black-naped Monarch","Hypothymis azurea"
"Black-naped Oriole","Oriolus chinensis"
"Brown Shrike","Lanius cristatus"
"Cattle Egret","Bubulcus ibis"
"Chestnut-headed Bee-eater","Merops leschenaulti"
"Common Myna","Acridotheres tristis"
"Dollarbird","Eurystomus orientalis"
"Greenish Warbler","Phylloscopus trochiloides"
"Green Imperial-Pigeon","Ducula aenea"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
"Indian Cuckoo","Cuculus micropterus"
"Intermediate Egret","Ardea intermedia"
"Large-billed Crow","Corvus macrorhynchos"
"Long-tailed Parakeet","Psittacula longicauda"
"Oriental Magpie-Robin","Copsychus saularis"
"Olive-backed Sunbird","Cinnyris jugularis"
"Pacific Reef-Heron","Egretta sacra"
"Pacific Swallow","Hirundo tahitica"
"Plume-toed Swiftlet","Collocalia affinis"
"Andaman Green-Pigeon","Treron chloropterus"
"Red Collared-Dove","Streptopelia tranquebarica"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Small Minivet","Pericrocotus cinnamomeus"
"Vernal Hanging-Parrot","Loriculus vernalis"
"White-bellied Sea-Eagle","Haliaeetus leucogaster"
"White-breasted Woodswallow","Artamus leucorynchus"
"White-headed Starling","Sturnia erythropygia"
"Whimbrel","Numenius phaeopus"
"White-throated Kingfisher","Halcyon smyrnensis"
"Andaman Cuckoo-Dove","Macropygia rufipennis"
"Black Baza","Aviceda leuphotes"
"Black-capped Kingfisher","Halcyon pileata"
"Collared Kingfisher","Todiramphus chloris"
"Alexandrine Parakeet","Psittacula eupatria"
"Black-naped Tern","Sterna sumatrana"
"Chinese Pond-Heron","Ardeola bacchus"
"Common Sandpiper","Actitis hypoleucos"
