"Common.Name","Scientific.Name","Endemic.Near.Endemic","Long.Term.Trend","Current.Annual.Change","Range.Size","Long.Term.Status","Current.Status","Range.Status","Concern.Status","WLPA.Schedule","IUCN"
"Black-faced Warbler","Abroscopus schisticeps","","","3.81±16.38","7.01±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Yellow-bellied Warbler","Abroscopus superciliaris","","","5.27±37.77","6.46±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Shikra","Accipiter badius","","16.88±14.15","-1.43±1.74","199.12±0.11","Stable","Stable","Very Large","Low","Schedule-I","LC"
"Nicobar Sparrowhawk","Accipiter butleri","X","","","0.04","Data Deficient","Data Deficient","Restricted","High","Schedule-I","VU"
"Eurasian Sparrowhawk","Accipiter nisus","","-69.57±30.15","-7.24±13.53","5.73±0.17","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-I","LC"
"Crested Goshawk","Accipiter trivirgatus","","-27.36±33.59","-3.3±7.2","27.5±0.07","Uncertain","Uncertain","Large","Low","Schedule-I","LC"
"Besra","Accipiter virgatus","","","","12.89","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-I","LC"
"Rufous-necked Hornbill","Aceros nipalensis","","","12.05±26.43","2.58±0.04","Data Deficient","Uncertain","Restricted","High","Schedule-I","VU"
"Jungle Myna","Acridotheres fuscus","","38.83±33.42","-5.92±3.27","93.75±0.07","Uncertain","Moderate Decline","Large","Moderate","Schedule-IV","LC"
"Bank Myna","Acridotheres ginginianus","X","-25.87±21.88","-7.81±3.78","88.38±0.08","Stable","Strong Decline","Large","Moderate","Schedule-IV","LC"
"Great Myna","Acridotheres grandis","","","-4.43±29.15","9.9±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Common Myna","Acridotheres tristis","","11.37±8.86","0.34±1.3","222.66±0.06","Stable","Stable","Very Large","Low","Schedule-IV","LC"
"Yellow-browed Bulbul","Acritillas indica","X","-77.79±14.55","-5.76±9.92","15.14±0.03","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Paddyfield Warbler","Acrocephalus agricola","","-29.75±42.93","7.42±13.4","31.84±0.1","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Blyth's Reed-warbler","Acrocephalus dumetorum","","18.5±30.3","2.11±4.77","117.09±0.08","Uncertain","Uncertain","Very Large","Low","Schedule-IV","LC"
"Clamorous Reed-warbler","Acrocephalus stentoreus","","0.74±30.59","4.98±5.91","33.36±0.09","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Rusty-fronted Barwing","Actinodura egertoni","X","","-9.46±21.37","5.77±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Common Sandpiper","Actitis hypoleucos","","-39.98±10.37","-6.07±2.44","95.91","Moderate Decline","Strong Decline","Large","Moderate","Schedule-IV","LC"
"Black-throated Tit","Aegithalos concinnus","","-23.46±40.14","-5.99±7.11","15.81±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rufous-fronted Tit","Aegithalos iouschistos","","","","2.63±0.09","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"White-throated Tit","Aegithalos niveogularis","X","","","6.59±0.14","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Marshall's Iora","Aegithina nigrolutea","X","","-2.87±15.16","8.41±0.05","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Common Iora","Aegithina tiphia","","-39.49±9.31","-3.8±2.4","149.68±0.08","Moderate Decline","Moderate Decline","Very Large","Moderate","Schedule-IV","LC"
"Cinereous Vulture","Aegypius monachus","","","-12.42±10.97","6±0.09","Data Deficient","Moderate Decline","Moderate","Moderate","Schedule-IV","NT"
"Himalayan Swiftlet","Aerodramus brevirostris","","-77.52±14.02","-8.82±8.67","19.51±0.2","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Indian Swiftlet","Aerodramus unicolor","X","-24.61±45.17","-3.23±8.8","12.05±0.03","Uncertain","Uncertain","Moderate","Low","Schedule-I","LC"
"Gould's Sunbird","Aethopyga gouldiae","","","-2.06±24.62","10.2±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Fire-tailed Sunbird","Aethopyga ignicauda","","","6.13±39.65","9.14±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Green-tailed Sunbird","Aethopyga nipalensis","","4.53±67.52","-3.55±9.47","11.9±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-throated Sunbird","Aethopyga saturata","","","7.33±19.84","11.56±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Crimson Sunbird","Aethopyga siparaja","","33.79±54.98","-4.77±5.75","26.28±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Sahyadri Sunbird","Aethopyga vigorsii","X","","3.54±16.44","6.73±0.05","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Oriental Skylark","Alauda gulgula","","-61.11±9.84","0.33±4.56","90.18±0.12","Strong Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Sand Lark","Alaudala raytal","","-53.58±26.16","6.22±11.97","21.71±0.08","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Common Kingfisher","Alcedo atthis","","-18.82±10.89","-8.58±1.66","183.12±0.12","Stable","Strong Decline","Very Large","Low","Schedule-IV","LC"
"Blue-eared Kingfisher","Alcedo meninting","","","-6.79±12.01","12.49±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Nepal Fulvetta","Alcippe nipalensis","","","-0.8±36.19","9.33±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Brown-cheeked Fulvetta","Alcippe poioicephala","","-77±7.86","3.49±6.97","28.5±0.05","Strong Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Striated Bulbul","Alcurus striatus","","","-4.87±25.34","6.49±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Chukar","Alectoris chukar","","","1.92±18.5","12.65±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
