"sl","Common.Name","Scientific.Name","eBird.English.Name.2018","eBird.English.Name.2019","eBird.species.group","order","family","IUCN","WLPA.Schedule","Long.Term.Analysis","Current.Analysis","Long.Term.Trend","Long.Term.Trend.CI","Current.Annual.Change","Current.Annual.Change.CI","Range.Size","Range.Size.CI","Long.Term.Status","Current.Status","Range.Status","Concern.Status","Migratory.Status","Diet.Category","Waterbirds","Raptors","Raptors.Scavengers","Raptors.Composite","Waterbirds.Composite","Habitat.Composite","Endemics.Composite","Diet.Composite"
1,"Fulvous Whistling Duck","Dendrocygna bicolor","Fulvous Whistling-Duck","Fulvous Whistling-Duck","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-I","","X",NA,NA,-1.873457577,11.42140106,13.4074988,0.0710999999999995,"Data Deficient","Uncertain","Moderate","Low","Resident","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
2,"Lesser Whistling Duck","Dendrocygna javanica","Lesser Whistling-Duck","Lesser Whistling-Duck","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",4.607644743,19.49676762,-3.907999145,2.727739793,149.898761,0.0986999999999796,"Stable","Moderate Decline","Very Large","Low","Resident","PlantSeed","X","","","","Ducks & Geese","Wetlands","Resident-Non-Endemics",""
3,"Bar-headed Goose","Anser indicus","Bar-headed Goose","Bar-headed Goose","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-13.39993978,217.658129,-6.935406704,38.94695007,45.4472583,0.0700000000000003,"Uncertain","Uncertain","Large","Low","Migratory-Local","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
4,"Greylag Goose","Anser anser","Graylag Goose","Graylag Goose","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-38.40276243,34.9438426,-3.091665089,8.853505483,24.5691745,0.104500000000002,"Uncertain","Uncertain","Moderate","Low","Migratory-Long-Distance","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
5,"Comb Duck","Sarkidiornis melanotos","Knob-billed Duck","Knob-billed Duck","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",1.291713172,31.15429634,-6.018773577,4.432596981,81.233442,0.0836000000000041,"Uncertain","Moderate Decline","Large","Moderate","Resident","PlantSeed","X","","","","Ducks & Geese","Wetlands","Resident-Non-Endemics",""
6,"Ruddy Shelduck","Tadorna ferruginea","Ruddy Shelduck","Ruddy Shelduck","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-0.908793756,65.31597961,-2.306987498,11.36083898,73.1742151,0.075800000000001,"Uncertain","Uncertain","Large","Low","Migratory-Local","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
7,"Cotton Teal","Nettapus coromandelianus","Cotton Pygmy-Goose","Cotton Pygmy-Goose","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-59.55395467,9.45142338,-8.044061151,3.158942744,100.1270602,0.101299999999995,"Strong Decline","Strong Decline","Very Large","High","Resident","PlantSeed","X","","","","Ducks & Geese","Wetlands","Resident-Non-Endemics",""
8,"Garganey","Spatula querquedula","Garganey","Garganey","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-35.75719024,18.62401528,1.527143661,5.195318715,78.397137,0.0879999999999939,"Stable","Uncertain","Large","Low","Migratory-Long-Distance","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
9,"Northern Shoveler","Spatula clypeata","Northern Shoveler","Northern Shoveler","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-27.91852757,23.25810208,0.209888173,5.818148836,92.082839,0.0806999999999931,"Stable","Uncertain","Large","Low","Migratory-Long-Distance","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
10,"Gadwall","Mareca strepera","Gadwall","Gadwall","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-12.3750217,38.54178502,1.192060619,8.119405109,68.3142581,0.0854999999999961,"Uncertain","Uncertain","Large","Low","Migratory-Long-Distance","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
11,"Eurasian Wigeon","Mareca penelope","Eurasian Wigeon","Eurasian Wigeon","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-57.07132709,121.5436449,-4.11316285,46.43318578,59.6853328,0.0842999999999989,"Uncertain","Uncertain","Large","Low","Migratory-Long-Distance","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
12,"Indian Spot-billed Duck","Anas poecilorhyncha","Indian Spot-billed Duck","Indian Spot-billed Duck","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",24.77675579,24.33781351,-4.096019777,2.695449405,137.1281162,0.077699999999993,"Stable","Moderate Decline","Very Large","Low","Resident","PlantSeed","X","","","","Ducks & Geese","Wetlands","Resident-Non-Endemics",""
13,"Mallard","Anas platyrhynchos","Mallard","Mallard","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-44.57073109,42.64031532,6.396903819,17.80045445,20.9854776,0.085799999999999,"Uncertain","Uncertain","Moderate","Low","Migratory-Long-Distance","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
14,"Northern Pintail","Anas acuta","Northern Pintail","Northern Pintail","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-55.81633167,52.99360187,-5.001384023,18.75879961,99.1353023,0.0943999999999932,"Uncertain","Uncertain","Large","Low","Migratory-Long-Distance","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
