species,detprobB,occB,occB.ci,trivB,sampareaB,detprobM,occM,occM.ci,trivM,sampareaM,migstatus
Fulvous Whistling-Duck,0.023,13.4074988,0.0711,6.5334,238.2723,NA,NA,NA,NA,NA,R
Bar-headed Goose,0.241,1.2836427,0.0531,0.6157,149.858,0.064,45.4472583,0.07,24.9349,196.9801,LM
Graylag Goose,NA,NA,NA,NA,NA,0.025,24.5691745,0.1045,12.4448,226.4868,W/P
Knob-billed Duck,0.023,81.233442,0.0836,42.0131,238.2723,NA,NA,NA,NA,NA,R
Ruddy Shelduck,0.108,3.8747049,0.0494,2.256,149.858,0.091,73.1742151,0.0758,41.6466,196.9801,LM
Garganey,NA,NA,NA,NA,NA,0.017,78.397137,0.088,41.0254,232.4067,W/P
Northern Shoveler,NA,NA,NA,NA,NA,0.031,92.082839,0.0807,51.266,229.4424,W/P
Gadwall,NA,NA,NA,NA,NA,0.022,68.3142581,0.0855,34.3523,229.4424,W/P
Eurasian Wigeon,NA,NA,NA,NA,NA,0.016,59.6853328,0.0843,30.2693,220.7693,W/P
Indian Spot-billed Duck,0.065,137.1281162,0.0777,87.6505,238.2723,NA,NA,NA,NA,NA,R
Mallard,NA,NA,NA,NA,NA,0.023,20.9854776,0.0858,9.7648,233.0176,W/P
Northern Pintail,NA,NA,NA,NA,NA,0.02,99.1353023,0.0944,51.772,229.4424,W/P
Green-winged Teal,NA,NA,NA,NA,NA,0.017,83.0525058,0.0885,43.273,229.4424,W/P
White-winged Duck,0.011,1.6555414,0.0913,0.6249,238.2723,NA,NA,NA,NA,NA,R
Red-crested Pochard,NA,NA,NA,NA,NA,0.038,34.4392361,0.0751,17.6512,215.5878,W/P
Common Pochard,NA,NA,NA,NA,NA,0.027,56.7869682,0.0815,28.5553,226.4868,W/P
Ferruginous Duck,NA,NA,NA,NA,NA,0.017,26.7874838,0.0924,11.7978,220.7693,W/P
Tufted Duck,NA,NA,NA,NA,NA,0.022,38.0511654,0.0859,17.6758,220.7693,W/P
Common Merganser,0.145,1.4625011,0.1185,0.8032,149.858,0.038,4.6653801,0.1056,2.2404,196.9801,LM
Hill Partridge,0.054,10.1969039,0.0627,5.8654,238.2723,NA,NA,NA,NA,NA,R
Chestnut-breasted Partridge,0.003,1.3832743,0.0689,0.6526,238.2723,NA,NA,NA,NA,NA,R
Rufous-throated Partridge,0.008,6.3406383,0.1149,2.3584,238.2723,NA,NA,NA,NA,NA,R
White-cheeked Partridge,0.027,3.4224822,0.0745,1.4177,238.2723,NA,NA,NA,NA,NA,R
Indian Peafowl,0.14,152.4265574,0.0743,104.9672,238.2723,NA,NA,NA,NA,NA,R
Red Spurfowl,0.023,36.3436371,0.0672,21.0385,238.2723,NA,NA,NA,NA,NA,R
Painted Spurfowl,0.024,20.7805972,0.0719,9.8763,238.2723,NA,NA,NA,NA,NA,R
Rain Quail,0.016,38.1848021,0.0977,15.4091,238.2723,NA,NA,NA,NA,NA,R
Chukar,0.053,12.6504688,0.0702,7.6803,238.2723,NA,NA,NA,NA,NA,R
Himalayan Snowcock,0.029,5.3742507,0.0942,2.368,238.2723,NA,NA,NA,NA,NA,R
Jungle Bush-Quail,0.01,76.3501871,0.1181,33.5777,238.2723,NA,NA,NA,NA,NA,R
Rock Bush-Quail,0.017,26.288686,0.0995,10.6846,238.2723,NA,NA,NA,NA,NA,R
Manipur Bush-Quail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R
Himalayan Quail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R
Painted Francolin,0.031,40.2477368,0.1012,18.1121,238.2723,NA,NA,NA,NA,NA,R
Gray Francolin,0.113,154.9081101,0.0727,104.9119,238.2723,NA,NA,NA,NA,NA,R
Swamp Francolin,0.029,3.3878056,0.0871,1.57,238.2723,NA,NA,NA,NA,NA,R
Red Junglefowl,0.059,37.5486149,0.0678,21.6745,238.2723,NA,NA,NA,NA,NA,R
Gray Junglefowl,0.086,33.8482206,0.0426,24.8084,238.2723,NA,NA,NA,NA,NA,R
Himalayan Monal,0.06,7.6153711,0.0548,4.75,238.2723,NA,NA,NA,NA,NA,R
Sclater's Monal,NA,NA,NA,0.125,238.2723,NA,NA,NA,NA,NA,R
Snow Partridge,0.017,2.8632239,0.0767,0.909,238.2723,NA,NA,NA,NA,NA,R
Western Tragopan,NA,NA,NA,0.3125,238.2723,NA,NA,NA,NA,NA,R
Satyr Tragopan,0.011,1.6482481,0.0864,0.757,238.2723,NA,NA,NA,NA,NA,R
Blyth's Tragopan,0.012,1.214276,0.0824,0.5153,238.2723,NA,NA,NA,NA,NA,R
Cheer Pheasant,0.011,2.7876262,0.0741,1.375,238.2723,NA,NA,NA,NA,NA,R
Kalij Pheasant,0.063,18.6347312,0.0633,12.1244,238.2723,NA,NA,NA,NA,NA,R
Koklass Pheasant,0.041,6.8721133,0.0725,3.8447,238.2723,NA,NA,NA,NA,NA,R
Greater Flamingo,0.07,8.521447,0.0626,4.3685,149.858,0.068,23.7172784,0.0625,12.7028,196.9801,LM
Lesser Flamingo,0.09,2.2280254,0.0822,1.1528,149.858,0.097,6.1109615,0.0572,3.5452,196.9801,LM
Little Grebe,0.048,164.0592996,0.0969,98.7913,238.2723,NA,NA,NA,NA,NA,R
Great Crested Grebe,0.126,1.5048567,0.0691,0.7627,149.858,0.051,14.6196277,0.0641,7.5266,196.9801,LM
Rock Pigeon,0.268,222.6533985,0.076,169.0978,238.2723,NA,NA,NA,NA,NA,R
Hill Pigeon,0.085,12.6963159,0.0505,8.4467,238.2723,NA,NA,NA,NA,NA,R
Snow Pigeon,0.046,13.7391562,0.0753,7.4647,238.2723,NA,NA,NA,NA,NA,R
Pale-backed Pigeon,NA,NA,NA,NA,NA,0.122,0.6734923,0.0988,0.375,215.5878,W/P
Speckled Wood-Pigeon,0.018,7.5948535,0.0732,3.7093,238.2723,NA,NA,NA,NA,NA,R
Nilgiri Wood-Pigeon,0.022,10.9435872,0.0492,6.5402,238.2723,NA,NA,NA,NA,NA,R
Pale-capped Pigeon,0.012,1.8712368,0.0673,0.6869,238.2723,NA,NA,NA,NA,NA,R
Andaman Wood-Pigeon,0.059,0.4942783,0.0627,0.268,238.2723,NA,NA,NA,NA,NA,R
Oriental Turtle-Dove,0.159,23.2414483,0.0577,16.072,149.858,0.032,49.8208469,0.0808,26.7326,196.9801,LM
Eurasian Collared-Dove,0.113,188.1202716,0.0752,132.2858,238.2723,NA,NA,NA,NA,NA,R
Red Collared-Dove,0.022,122.0231965,0.102,61.7732,238.2723,NA,NA,NA,NA,NA,R
Spotted Dove,0.218,200.6743278,0.0769,151.2502,238.2723,NA,NA,NA,NA,NA,R
Laughing Dove,0.17,181.2654337,0.0622,136.788,238.2723,NA,NA,NA,NA,NA,R
Barred Cuckoo-Dove,0.028,7.3495345,0.0927,3.7299,238.2723,NA,NA,NA,NA,NA,R
Andaman Cuckoo-Dove,0.047,0.6066314,0.0045,0.4159,238.2723,NA,NA,NA,NA,NA,R
Asian Emerald Dove,0.036,48.3987975,0.0666,29.2565,238.2723,NA,NA,NA,NA,NA,R
Orange-breasted Pigeon,0.006,21.2435486,0.091,8.0829,238.2723,NA,NA,NA,NA,NA,R
Gray-fronted Green-Pigeon,0.032,14.3417337,0.0364,11.5322,238.2723,NA,NA,NA,NA,NA,R
Andaman Green-Pigeon,0.121,0.6241585,0.026,0.4882,238.2723,NA,NA,NA,NA,NA,R
Pin-tailed Pigeon,0.019,8.2404477,0.0617,4.2483,238.2723,NA,NA,NA,NA,NA,R
Wedge-tailed Pigeon,0.024,16.5027977,0.0801,8.5391,238.2723,NA,NA,NA,NA,NA,R
Mountain Imperial-Pigeon,0.026,17.1185242,0.048,11.2813,238.2723,NA,NA,NA,NA,NA,R
Tibetan Sandgrouse,0.062,2.6447048,0.1385,0.9036,238.2723,NA,NA,NA,NA,NA,R
Chestnut-bellied Sandgrouse,0.032,41.7443954,0.0765,21.5235,238.2723,NA,NA,NA,NA,NA,R
Painted Sandgrouse,0.016,17.2204302,0.0881,6.9401,238.2723,NA,NA,NA,NA,NA,R
Bengal Florican,0.028,1.8381793,0.0691,0.8736,238.2723,NA,NA,NA,NA,NA,R
Andaman Coucal,0.45,0.5078349,0.0219,0.4357,238.2723,NA,NA,NA,NA,NA,R
Greater Coucal,0.211,193.4335541,0.077,141.4747,238.2723,NA,NA,NA,NA,NA,R
Lesser Coucal,0.014,20.8433026,0.0688,10.0617,238.2723,NA,NA,NA,NA,NA,R
Sirkeer Malkoha,0.008,58.1832574,0.1157,22.9858,238.2723,NA,NA,NA,NA,NA,R
Blue-faced Malkoha,0.026,45.9158591,0.0638,28.3995,238.2723,NA,NA,NA,NA,NA,R
Green-billed Malkoha,0.031,20.9831856,0.0756,11.0366,238.2723,NA,NA,NA,NA,NA,R
Pied Cuckoo,0.042,67.9685595,0.1028,36.2187,149.858,0.021,32.4140545,0.0672,18.9364,196.9801,LM
Asian Koel,0.236,186.1961492,0.0786,133.3891,238.2723,NA,NA,NA,NA,NA,R
Banded Bay Cuckoo,0.008,30.3636128,0.0932,15.25,238.2723,NA,NA,NA,NA,NA,R
Plaintive Cuckoo,0.025,2.8650172,0.0834,1.3597,149.858,0.024,3.1867019,0.1491,1.3343,196.9801,LM
Gray-bellied Cuckoo,0.01,88.9977786,0.1515,38.9962,238.2723,NA,NA,NA,NA,NA,R
Square-tailed Drongo-Cuckoo,0.014,7.3234996,0.1234,3.2229,177.3451,NA,NA,NA,NA,NA,S
Large Hawk-Cuckoo,0.103,6.6808378,0.0939,3.8188,149.858,0.001,1.5531371,0.2126,0.9854,196.9801,LM
Common Hawk-Cuckoo,0.06,159.3568466,0.1143,91.5093,238.2723,NA,NA,NA,NA,NA,R
Lesser Cuckoo,0.053,7.13088,0.1348,3.0788,149.858,0.019,0.4317155,0.0077,0.3686,196.9801,LM
Indian Cuckoo,0.059,27.5698472,0.067,15.9313,149.858,0.004,11.078194,0.1332,3.8412,196.9801,LM
White-rumped Needletail,0.007,23.4585118,0.0725,11.8637,238.2723,NA,NA,NA,NA,NA,R
Brown-backed Needletail,0.012,14.0272249,0.0517,8.8201,238.2723,NA,NA,NA,NA,NA,R
Plume-toed Swiftlet,0.462,0.6150562,0.0032,0.5262,238.2723,NA,NA,NA,NA,NA,R
Indian Swiftlet,0.03,12.0546419,0.0326,9.425,238.2723,NA,NA,NA,NA,NA,R
Himalayan Swiftlet,0.015,19.5119691,0.1974,9.2325,238.2723,NA,NA,NA,NA,NA,R
Alpine Swift,0.012,14.9386648,0.1017,6.6058,149.858,0.013,26.8953986,0.0971,14.1113,196.9801,LM
Dark-rumped Swift,0.018,2.4099894,0.1287,0.8897,238.2723,NA,NA,NA,NA,NA,R
Little Swift,0.049,178.6575289,0.1216,98.1048,238.2723,NA,NA,NA,NA,NA,R
Asian Palm-Swift,0.1,117.1414779,0.0756,79.5048,238.2723,NA,NA,NA,NA,NA,R
Crested Treeswift,0.015,56.6357344,0.0832,29.1083,238.2723,NA,NA,NA,NA,NA,R
Slaty-breasted Rail,0.003,16.0046798,0.0905,5.6388,238.2723,NA,NA,NA,NA,NA,R
Eurasian Moorhen,0.04,35.2492226,0.0812,18.4861,149.858,0.046,98.8305033,0.097,53.4327,196.9801,LM
Eurasian Coot,0.055,37.125156,0.0769,20.4466,149.858,0.075,112.3678756,0.0871,66.5998,196.9801,LM
Gray-headed Swamphen,0.05,114.368831,0.0841,65.459,238.2723,NA,NA,NA,NA,NA,R
White-breasted Waterhen,0.078,174.2962463,0.0968,110.2694,238.2723,NA,NA,NA,NA,NA,R
Andaman Crake,0.047,0.4867197,0.0389,0.2575,238.2723,NA,NA,NA,NA,NA,R
Slaty-legged Crake,0.001,8.2744617,0.1157,2.6469,238.2723,NA,NA,NA,NA,NA,R
Ruddy-breasted Crake,0.005,35.7618739,0.099,13.151,238.2723,NA,NA,NA,NA,NA,R
Brown Crake,0.008,35.886987,0.1037,14.5734,238.2723,NA,NA,NA,NA,NA,R
Baillon's Crake,NA,NA,NA,NA,NA,0.006,14.9199113,0.0789,6.522,224.4491,W/P
Black-tailed Crake,0.021,2.6267171,0.0595,1.2981,238.2723,NA,NA,NA,NA,NA,R
Demoiselle Crane,NA,NA,NA,NA,NA,0.055,14.7106192,0.0817,7.3879,224.4491,W/P
Sarus Crane,0.041,33.1436412,0.0707,18.9029,238.2723,NA,NA,NA,NA,NA,R
Common Crane,NA,NA,NA,NA,NA,0.091,16.4712266,0.0669,9.3243,220.7693,W/P
Black-necked Crane,0.225,1.5852774,0.045,0.9277,174.907,NA,NA,NA,NA,NA,S
Indian Thick-knee,0.017,76.0387211,0.0978,34.9847,238.2723,NA,NA,NA,NA,NA,R
Great Thick-knee,0.017,33.3922975,0.0773,15.7278,238.2723,NA,NA,NA,NA,NA,R
Black-winged Stilt,0.051,53.7457902,0.0806,29.9064,149.858,0.098,120.0854728,0.0781,78.2239,196.9801,LM
Pied Avocet,NA,NA,NA,NA,NA,0.027,21.9785387,0.0718,11.1439,238.2723,W/P
Eurasian Oystercatcher,NA,NA,NA,NA,NA,0.025,2.8359705,0.04,1.2726,227.8208,W/P
Black-bellied Plover,NA,NA,NA,NA,NA,0.023,5.3365338,0.0415,2.5519,235.5963,W/P
Pacific Golden-Plover,NA,NA,NA,NA,NA,0.018,16.8341698,0.053,8.7416,232.4067,W/P
Northern Lapwing,NA,NA,NA,NA,NA,0.02,6.7241511,0.0671,3.3714,214.9666,W/P
River Lapwing,0.043,38.0892334,0.0769,20.4191,238.2723,NA,NA,NA,NA,NA,R
Yellow-wattled Lapwing,0.03,121.2639236,0.1036,63.1818,238.2723,NA,NA,NA,NA,NA,R
Gray-headed Lapwing,NA,NA,NA,NA,NA,0.014,16.4727799,0.0589,8.9438,226.4868,W/P
Red-wattled Lapwing,0.186,203.0036873,0.0708,158.5024,238.2723,NA,NA,NA,NA,NA,R
White-tailed Lapwing,NA,NA,NA,NA,NA,0.013,18.2091409,0.1054,8.1667,224.4491,W/P
Lesser Sand-Plover,0.056,6.2148389,0.0461,3.2731,149.858,0.052,14.8531278,0.0504,7.6738,196.9801,LM
Greater Sand-Plover,NA,NA,NA,NA,NA,0.031,7.9699091,0.0422,4.2113,232.4067,W/P
Kentish Plover,0.022,6.0067377,0.0618,2.5573,149.858,0.028,46.4890719,0.0808,22.9667,196.9801,LM
Little Ringed Plover,0.018,30.8000172,0.0981,13.7789,149.858,0.037,110.3414099,0.1098,58.485,196.9801,LM
Greater Painted-Snipe,0.006,84.2980352,0.1502,30.0905,238.2723,NA,NA,NA,NA,NA,R
