Time Bands,Frequency,SE,Species
before 2000,NA,NA,Abbott's Babbler
2000-2006,NA,NA,Abbott's Babbler
2007-2010,NA,NA,Abbott's Babbler
2011-2012,NA,NA,Abbott's Babbler
2013,NA,NA,Abbott's Babbler
2014,0.043333181,0.039322279,Abbott's Babbler
2015,0.059443785,0.053989906,Abbott's Babbler
2016,0.068474782,0.062461942,Abbott's Babbler
2017,0.055992094,0.050988948,Abbott's Babbler
2018,0.058978489,0.053617769,Abbott's Babbler
before 2000,NA,NA,Aberrant Bush Warbler
2000-2006,NA,NA,Aberrant Bush Warbler
2007-2010,NA,NA,Aberrant Bush Warbler
2011-2012,NA,NA,Aberrant Bush Warbler
2013,NA,NA,Aberrant Bush Warbler
2014,0.014260993,0.017261745,Aberrant Bush Warbler
2015,0.017446089,0.021486089,Aberrant Bush Warbler
2016,0.015666558,0.018963338,Aberrant Bush Warbler
2017,0.020394063,0.024927284,Aberrant Bush Warbler
2018,0.018461641,0.022482236,Aberrant Bush Warbler
before 2000,0.070580169,0.006730754,Alexandrine Parakeet
2000-2006,0.078420899,0.007601075,Alexandrine Parakeet
2007-2010,0.089571813,0.008120275,Alexandrine Parakeet
2011-2012,0.087971986,0.008079558,Alexandrine Parakeet
2013,0.098438873,0.008440416,Alexandrine Parakeet
2014,0.091880351,0.007456197,Alexandrine Parakeet
2015,0.09849892,0.007878643,Alexandrine Parakeet
2016,0.112205605,0.008734528,Alexandrine Parakeet
2017,0.104806653,0.00810608,Alexandrine Parakeet
2018,0.11022003,0.008561082,Alexandrine Parakeet
before 2000,NA,NA,Alpine Accentor
2000-2006,NA,NA,Alpine Accentor
2007-2010,NA,NA,Alpine Accentor
2011-2012,NA,NA,Alpine Accentor
2013,NA,NA,Alpine Accentor
2014,0.066635258,0.028138511,Alpine Accentor
2015,0.054275101,0.022797871,Alpine Accentor
2016,0.066516551,0.027477583,Alpine Accentor
2017,0.054475471,0.022720435,Alpine Accentor
2018,0.07338887,0.030186623,Alpine Accentor
before 2000,0.018323158,0.002807645,Alpine Swift
2000-2006,0.016246635,0.002518076,Alpine Swift
2007-2010,0.013934442,0.002129389,Alpine Swift
2011-2012,0.017816526,0.002722992,Alpine Swift
2013,0.010662365,0.001607896,Alpine Swift
2014,0.009055532,0.001245486,Alpine Swift
2015,0.008358781,0.001097718,Alpine Swift
2016,0.009195413,0.001192439,Alpine Swift
2017,0.008999899,0.001165881,Alpine Swift
2018,0.009948456,0.001263496,Alpine Swift
before 2000,NA,NA,Alpine Thrush
2000-2006,NA,NA,Alpine Thrush
2007-2010,NA,NA,Alpine Thrush
2011-2012,NA,NA,Alpine Thrush
2013,NA,NA,Alpine Thrush
2014,NA,NA,Alpine Thrush
2015,NA,NA,Alpine Thrush
2016,NA,NA,Alpine Thrush
2017,NA,NA,Alpine Thrush
2018,NA,NA,Alpine Thrush
before 2000,NA,NA,Amur Falcon
2000-2006,NA,NA,Amur Falcon
2007-2010,NA,NA,Amur Falcon
2011-2012,NA,NA,Amur Falcon
2013,NA,NA,Amur Falcon
2014,0.018946666,0.010864819,Amur Falcon
2015,0.009760189,0.005625666,Amur Falcon
2016,0.023075146,0.012980928,Amur Falcon
2017,0.014770371,0.008432986,Amur Falcon
2018,0.010532132,0.006011527,Amur Falcon
before 2000,NA,NA,Andaman Bulbul
2000-2006,NA,NA,Andaman Bulbul
2007-2010,NA,NA,Andaman Bulbul
2011-2012,NA,NA,Andaman Bulbul
2013,NA,NA,Andaman Bulbul
2014,0.278927557,0.060600601,Andaman Bulbul
2015,0.363006755,0.067539167,Andaman Bulbul
2016,0.293689605,0.054014338,Andaman Bulbul
2017,0.291999425,0.053810497,Andaman Bulbul
2018,0.280788874,0.050810941,Andaman Bulbul
before 2000,NA,NA,Andaman Coucal
2000-2006,NA,NA,Andaman Coucal
2007-2010,NA,NA,Andaman Coucal
2011-2012,NA,NA,Andaman Coucal
2013,NA,NA,Andaman Coucal
2014,0.455575484,0.052931699,Andaman Coucal
2015,0.497883753,0.047159778,Andaman Coucal
2016,0.442555683,0.035978319,Andaman Coucal
2017,0.419467767,0.03469717,Andaman Coucal
2018,0.415191039,0.032378946,Andaman Coucal
before 2000,NA,NA,Andaman Crake
2000-2006,NA,NA,Andaman Crake
2007-2010,NA,NA,Andaman Crake
2011-2012,NA,NA,Andaman Crake
2013,NA,NA,Andaman Crake
2014,NA,NA,Andaman Crake
2015,NA,NA,Andaman Crake
2016,NA,NA,Andaman Crake
2017,NA,NA,Andaman Crake
2018,NA,NA,Andaman Crake
before 2000,NA,NA,Andaman Cuckoo-Dove
2000-2006,NA,NA,Andaman Cuckoo-Dove
2007-2010,NA,NA,Andaman Cuckoo-Dove
2011-2012,NA,NA,Andaman Cuckoo-Dove
2013,NA,NA,Andaman Cuckoo-Dove
2014,NA,NA,Andaman Cuckoo-Dove
2015,NA,NA,Andaman Cuckoo-Dove
2016,NA,NA,Andaman Cuckoo-Dove
2017,NA,NA,Andaman Cuckoo-Dove
2018,NA,NA,Andaman Cuckoo-Dove
before 2000,NA,NA,Andaman Cuckooshrike
2000-2006,NA,NA,Andaman Cuckooshrike
2007-2010,NA,NA,Andaman Cuckooshrike
2011-2012,NA,NA,Andaman Cuckooshrike
2013,NA,NA,Andaman Cuckooshrike
2014,NA,NA,Andaman Cuckooshrike
2015,NA,NA,Andaman Cuckooshrike
2016,NA,NA,Andaman Cuckooshrike
2017,NA,NA,Andaman Cuckooshrike
2018,NA,NA,Andaman Cuckooshrike
before 2000,NA,NA,Andaman Drongo
2000-2006,NA,NA,Andaman Drongo
2007-2010,NA,NA,Andaman Drongo
2011-2012,NA,NA,Andaman Drongo
2013,NA,NA,Andaman Drongo
2014,0.345791954,0.063852189,Andaman Drongo
2015,0.349498702,0.059117966,Andaman Drongo
2016,0.304327757,0.048170422,Andaman Drongo
2017,0.275192234,0.044937178,Andaman Drongo
2018,0.244956861,0.039974954,Andaman Drongo
before 2000,NA,NA,Andaman Flowerpecker
2000-2006,NA,NA,Andaman Flowerpecker
2007-2010,NA,NA,Andaman Flowerpecker
2011-2012,NA,NA,Andaman Flowerpecker
2013,NA,NA,Andaman Flowerpecker
2014,0.179889134,0.043791163,Andaman Flowerpecker
2015,0.253153135,0.049845684,Andaman Flowerpecker
2016,0.220199726,0.039945592,Andaman Flowerpecker
2017,0.237462868,0.041150304,Andaman Flowerpecker
2018,0.222093077,0.039252331,Andaman Flowerpecker
before 2000,NA,NA,Andaman Green-Pigeon
2000-2006,NA,NA,Andaman Green-Pigeon
2007-2010,NA,NA,Andaman Green-Pigeon
2011-2012,NA,NA,Andaman Green-Pigeon
2013,NA,NA,Andaman Green-Pigeon
2014,0.227407001,0.048339432,Andaman Green-Pigeon
2015,0.179578179,0.038702411,Andaman Green-Pigeon
2016,0.166368392,0.032593466,Andaman Green-Pigeon
2017,0.15377903,0.030568364,Andaman Green-Pigeon
2018,0.140514493,0.026645552,Andaman Green-Pigeon
before 2000,NA,NA,Andaman Serpent-Eagle
2000-2006,NA,NA,Andaman Serpent-Eagle
2007-2010,NA,NA,Andaman Serpent-Eagle
