"COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE"
"India","IN","Andaman and Nicobar Islands","IN-AN","North and Middle Andaman","IN-AN-AN"
"India","IN","Andaman and Nicobar Islands","IN-AN","South Andaman","IN-AN-AS"
"India","IN","Andaman and Nicobar Islands","IN-AN","Nicobar","IN-AN-NI"
"India","IN","Andhra Pradesh","IN-AP","Anantapur","IN-AP-AN"
"India","IN","Andhra Pradesh","IN-AP","Chittoor","IN-AP-CH"
"India","IN","Andhra Pradesh","IN-AP","Kadapa","IN-AP-CU"
"India","IN","Andhra Pradesh","IN-AP","East Godavari","IN-AP-EG"
"India","IN","Andhra Pradesh","IN-AP","Guntur","IN-AP-GU"
"India","IN","Andhra Pradesh","IN-AP","Krishna","IN-AP-KR"
"India","IN","Andhra Pradesh","IN-AP","Kurnool","IN-AP-KU"
"India","IN","Andhra Pradesh","IN-AP","Sri Potti Sriramulu Nellore","IN-AP-NE"
"India","IN","Andhra Pradesh","IN-AP","Prakasam","IN-AP-PR"
"India","IN","Andhra Pradesh","IN-AP","Srikakulam","IN-AP-SR"
"India","IN","Andhra Pradesh","IN-AP","Visakhapatnam","IN-AP-VS"
"India","IN","Andhra Pradesh","IN-AP","Vizianagaram","IN-AP-VZ"
"India","IN","Andhra Pradesh","IN-AP","West Godavari","IN-AP-WG"
"India","IN","Andhra Pradesh","IN-AP",NA,NA
"India","IN","Arunachal Pradesh","IN-AR","Anjaw","IN-AR-AN"
"India","IN","Arunachal Pradesh","IN-AR","Changlang","IN-AR-CH"
"India","IN","Arunachal Pradesh","IN-AR","East Kameng","IN-AR-EK"
"India","IN","Arunachal Pradesh","IN-AR","East Siang","IN-AR-ES"
"India","IN","Arunachal Pradesh","IN-AR","Lower Subansiri","IN-AR-LB"
"India","IN","Arunachal Pradesh","IN-AR","Lower Dibang Valley","IN-AR-LD"
"India","IN","Arunachal Pradesh","IN-AR","Lohit","IN-AR-LO"
"India","IN","Arunachal Pradesh","IN-AR","Papum Pare","IN-AR-PA"
"India","IN","Arunachal Pradesh","IN-AR","Tawang","IN-AR-TA"
"India","IN","Arunachal Pradesh","IN-AR","Tirap","IN-AR-TI"
"India","IN","Arunachal Pradesh","IN-AR","Upper Subansiri","IN-AR-UB"
"India","IN","Arunachal Pradesh","IN-AR","Dibang Valley","IN-AR-UD"
