English Name,Scientific Name,BLI,GEN
Fulvous Whistling Duck,Dendrocygna bicolor,Dendrocygna bicolor,17.4
Lesser Whistling Duck,Dendrocygna javanica,Dendrocygna javanica,17.1
Bar-headed Goose,Anser indicus,Anser indicus,28.5
Greylag Goose,Anser anser,Anser anser,28.2
Comb Duck,Sarkidiornis melanotos,Sarkidiornis melanotos,12.3
Ruddy Shelduck,Tadorna ferruginea,Tadorna ferruginea,22.5
Cotton Teal,Nettapus coromandelianus,Nettapus coromandelianus,9.9
Garganey,Spatula querquedula,Spatula querquedula,10.2
Northern Shoveler,Spatula clypeata,Spatula clypeata,15
Gadwall,Mareca strepera,Mareca strepera,10.5
Eurasian Wigeon,Mareca penelope,Mareca penelope,12
Indian Spot-billed Duck,Anas poecilorhyncha,Anas poecilorhyncha,17.4
Mallard,Anas platyrhynchos,Anas platyrhynchos,14.1
Northern Pintail,Anas acuta,Anas acuta,19.2
Common Teal,Anas crecca,Anas crecca,11.1
Andaman Teal,Anas albogularis,Anas albogularis,17.1
White-winged Wood Duck,Asarcornis scutulata,Asarcornis scutulata,16.8
Red-crested Pochard,Netta rufina,Netta rufina,18.6
Common Pochard,Aythya ferina,Aythya ferina,17.1
Ferruginous Duck,Aythya nyroca,Aythya nyroca,15
Tufted Duck,Aythya fuligula,Aythya fuligula,18
Common Merganser,Mergus merganser,Mergus merganser,17.4
Nicobar Megapode,Megapodius nicobariensis,Megapodius nicobariensis,14.1
Common Hill Partridge,Arborophila torqueola,Arborophila torqueola,13.8
Chestnut-breasted Hill Partridge,Arborophila mandellii,Arborophila mandellii,14.1
Rufous-throated Hill Partridge,Arborophila rufogularis,Arborophila rufogularis,14.1
White-cheeked Hill Partridge,Arborophila atrogularis,Arborophila atrogularis,13.2
Indian Peafowl,Pavo cristatus,Pavo cristatus,26.7
Red Spurfowl,Galloperdix spadicea,Galloperdix spadicea,16.2
Painted Spurfowl,Galloperdix lunulata,Galloperdix lunulata,15.3
Rain Quail,Coturnix coromandelica,Coturnix coromandelica,9
Chukar Partridge,Alectoris chukar,Alectoris chukar,9
Himalayan Snowcock,Tetraogallus himalayensis,Tetraogallus himalayensis,15.3
Jungle Bush Quail,Perdicula asiatica,Perdicula asiatica,9.6
Rock Bush Quail,Perdicula argoondah,Perdicula argoondah,9.6
Painted Bush Quail,Perdicula erythrorhyncha,Perdicula erythrorhyncha,9.6
Manipur Bush Quail,Perdicula manipurensis,Perdicula manipurensis,9.9
Himalayan Quail,Ophrysia superciliosa,Ophrysia superciliosa,10.5
Black Francolin,Francolinus francolinus,Francolinus francolinus,7.8
Painted Francolin,Francolinus pictus,Francolinus pictus,9.6
Grey Francolin,Francolinus pondicerianus,Francolinus pondicerianus,7.2
Swamp Francolin,Francolinus gularis,Francolinus gularis,14.1
Mountain Bamboo Partridge,Bambusicola fytchii,Bambusicola fytchii,14.1
Red Junglefowl,Gallus gallus,Gallus gallus,10.8
Grey Junglefowl,Gallus sonneratii,Gallus sonneratii,13.8
Blood Pheasant,Ithaginis cruentus,Ithaginis cruentus,16.2
Himalayan Monal,Lophophorus impejanus,Lophophorus impejanus,19.2
Sclater's Monal,Lophophorus sclateri,Lophophorus sclateri,19.2
Snow Partridge,Lerwa lerwa,Lerwa lerwa,16.8
Western Tragopan,Tragopan melanocephalus,Tragopan melanocephalus,15.6
Satyr Tragopan,Tragopan satyra,Tragopan satyra,18.6
Blyth's Tragopan,Tragopan blythii,Tragopan blythii,19.2
Cheer Pheasant,Catreus wallichii,Catreus wallichii,13.2
Kalij Pheasant,Lophura leucomelanos,Lophura leucomelanos,14.7
Koklass Pheasant,Pucrasia macrolopha,Pucrasia macrolopha,13.2
Greater Flamingo,Phoenicopterus roseus,Phoenicopterus roseus,48.9
Lesser Flamingo,Phoeniconaias minor,Phoeniconaias minor,38.7
Little Grebe,Tachybaptus ruficollis,Tachybaptus ruficollis,14.7
Great Crested Grebe,Podiceps cristatus,Podiceps cristatus,17.4
Rock Pigeon,Columba livia,Columba livia,14.4
Hill Pigeon,Columba rupestris,Columba rupestris,12.6
Snow Pigeon,Columba leuconota,Columba leuconota,12.6
Yellow-eyed Pigeon,Columba eversmanni,Columba eversmanni,9.3
Speckled Wood Pigeon,Columba hodgsonii,Columba hodgsonii,12.6
Ashy Wood Pigeon,Columba pulchricollis,Columba pulchricollis,12.6
Nilgiri Wood Pigeon,Columba elphinstonii,Columba elphinstonii,12.6
