Time.Bands,Frequency,SE,Species
2014,0.043333181,0.039322279,Abbott's Babbler
2015,0.059443785,0.053989906,Abbott's Babbler
2016,0.068474782,0.062461942,Abbott's Babbler
2017,0.055992094,0.050988948,Abbott's Babbler
2018,0.058978489,0.053617769,Abbott's Babbler
2014,0.014260993,0.017261745,Aberrant Bush Warbler
2015,0.017446089,0.021486089,Aberrant Bush Warbler
2016,0.015666558,0.018963338,Aberrant Bush Warbler
2017,0.020394063,0.024927284,Aberrant Bush Warbler
2018,0.018461641,0.022482236,Aberrant Bush Warbler
2014,0.091880351,0.007456197,Alexandrine Parakeet
2015,0.09849892,0.007878643,Alexandrine Parakeet
2016,0.112205605,0.008734528,Alexandrine Parakeet
2017,0.104806653,0.00810608,Alexandrine Parakeet
2018,0.11022003,0.008561082,Alexandrine Parakeet
2014,0.066635258,0.028138511,Alpine Accentor
2015,0.054275101,0.022797871,Alpine Accentor
2016,0.066516551,0.027477583,Alpine Accentor
2017,0.054475471,0.022720435,Alpine Accentor
2018,0.07338887,0.030186623,Alpine Accentor
2014,0.009055532,0.001245486,Alpine Swift
2015,0.008358781,0.001097718,Alpine Swift
2016,0.009195413,0.001192439,Alpine Swift
2017,0.008999899,0.001165881,Alpine Swift
2018,0.009948456,0.001263496,Alpine Swift
2014,NA,NA,Alpine Thrush
2015,NA,NA,Alpine Thrush
2016,NA,NA,Alpine Thrush
2017,NA,NA,Alpine Thrush
2018,NA,NA,Alpine Thrush
2014,0.018946666,0.010864819,Amur Falcon
2015,0.009760189,0.005625666,Amur Falcon
2016,0.023075146,0.012980928,Amur Falcon
2017,0.014770371,0.008432986,Amur Falcon
2018,0.010532132,0.006011527,Amur Falcon
2014,0.278927557,0.060600601,Andaman Bulbul
2015,0.363006755,0.067539167,Andaman Bulbul
2016,0.293689605,0.054014338,Andaman Bulbul
2017,0.291999425,0.053810497,Andaman Bulbul
2018,0.280788874,0.050810941,Andaman Bulbul
2014,0.455575484,0.052931699,Andaman Coucal
2015,0.497883753,0.047159778,Andaman Coucal
2016,0.442555683,0.035978319,Andaman Coucal
2017,0.419467767,0.03469717,Andaman Coucal
2018,0.415191039,0.032378946,Andaman Coucal
2014,NA,NA,Andaman Crake
2015,NA,NA,Andaman Crake
2016,NA,NA,Andaman Crake
2017,NA,NA,Andaman Crake
2018,NA,NA,Andaman Crake
2014,NA,NA,Andaman Cuckoo-Dove
2015,NA,NA,Andaman Cuckoo-Dove
2016,NA,NA,Andaman Cuckoo-Dove
2017,NA,NA,Andaman Cuckoo-Dove
2018,NA,NA,Andaman Cuckoo-Dove
2014,NA,NA,Andaman Cuckooshrike
2015,NA,NA,Andaman Cuckooshrike
2016,NA,NA,Andaman Cuckooshrike
2017,NA,NA,Andaman Cuckooshrike
2018,NA,NA,Andaman Cuckooshrike
2014,0.345791954,0.063852189,Andaman Drongo
2015,0.349498702,0.059117966,Andaman Drongo
2016,0.304327757,0.048170422,Andaman Drongo
2017,0.275192234,0.044937178,Andaman Drongo
2018,0.244956861,0.039974954,Andaman Drongo
2014,0.179889134,0.043791163,Andaman Flowerpecker
2015,0.253153135,0.049845684,Andaman Flowerpecker
2016,0.220199726,0.039945592,Andaman Flowerpecker
2017,0.237462868,0.041150304,Andaman Flowerpecker
2018,0.222093077,0.039252331,Andaman Flowerpecker
2014,0.227407001,0.048339432,Andaman Green-Pigeon
2015,0.179578179,0.038702411,Andaman Green-Pigeon
2016,0.166368392,0.032593466,Andaman Green-Pigeon
2017,0.15377903,0.030568364,Andaman Green-Pigeon
2018,0.140514493,0.026645552,Andaman Green-Pigeon
2014,0.097152159,0.026003554,Andaman Serpent-Eagle
2015,0.115419121,0.029290712,Andaman Serpent-Eagle
2016,0.092781549,0.019699507,Andaman Serpent-Eagle
2017,0.090870684,0.019286215,Andaman Serpent-Eagle
2018,0.063402246,0.013212323,Andaman Serpent-Eagle
2014,0.122055503,0.036997962,Andaman Shama
2015,0.139210285,0.038590333,Andaman Shama
2016,0.125734886,0.030491886,Andaman Shama
2017,0.104644487,0.024613354,Andaman Shama
2018,0.134957597,0.030944107,Andaman Shama
2014,NA,NA,Andaman Teal
2015,NA,NA,Andaman Teal
2016,NA,NA,Andaman Teal
2017,NA,NA,Andaman Teal
2018,NA,NA,Andaman Teal
2014,NA,NA,Andaman Treepie
2015,NA,NA,Andaman Treepie
2016,NA,NA,Andaman Treepie
2017,NA,NA,Andaman Treepie
2018,NA,NA,Andaman Treepie
2014,NA,NA,Andaman Wood-Pigeon
2015,NA,NA,Andaman Wood-Pigeon
2016,NA,NA,Andaman Wood-Pigeon
2017,NA,NA,Andaman Wood-Pigeon
2018,NA,NA,Andaman Wood-Pigeon
2014,NA,NA,Andaman Woodpecker
2015,NA,NA,Andaman Woodpecker
2016,NA,NA,Andaman Woodpecker
2017,NA,NA,Andaman Woodpecker
2018,NA,NA,Andaman Woodpecker
2014,NA,NA,Ashambu Laughingthrush
2015,NA,NA,Ashambu Laughingthrush
2016,NA,NA,Ashambu Laughingthrush
2017,NA,NA,Ashambu Laughingthrush
2018,NA,NA,Ashambu Laughingthrush
2014,0.128936694,0.010044511,Ashy-crowned Sparrow-Lark
2015,0.118878766,0.009020506,Ashy-crowned Sparrow-Lark
2016,0.110758055,0.008529189,Ashy-crowned Sparrow-Lark
2017,0.120462206,0.00922747,Ashy-crowned Sparrow-Lark
2018,0.112842279,0.008538537,Ashy-crowned Sparrow-Lark
2014,0.029407604,0.009873386,Ashy-throated Warbler
2015,0.025649103,0.008565989,Ashy-throated Warbler
2016,0.02574908,0.008574543,Ashy-throated Warbler
2017,0.026676239,0.008812279,Ashy-throated Warbler
2018,0.032690452,0.010785848,Ashy-throated Warbler
2014,0.079559658,0.017798602,Ashy Bulbul
2015,0.085112884,0.018784741,Ashy Bulbul
2016,0.074385746,0.016454915,Ashy Bulbul
2017,0.07428344,0.016521878,Ashy Bulbul
2018,0.066645478,0.014771539,Ashy Bulbul
2014,0.078047088,0.006273712,Ashy Drongo
2015,0.072599155,0.005684884,Ashy Drongo
2016,0.076874557,0.005983011,Ashy Drongo
2017,0.074138625,0.005775788,Ashy Drongo
2018,0.079943377,0.006146268,Ashy Drongo
2014,0.239086362,0.013420037,Ashy Prinia
2015,0.230265714,0.012941953,Ashy Prinia
2016,0.231881145,0.012919071,Ashy Prinia
2017,0.252523114,0.013792421,Ashy Prinia
2018,0.232817056,0.013025392,Ashy Prinia
2014,NA,NA,Ashy Wood-Pigeon
2015,NA,NA,Ashy Wood-Pigeon
2016,NA,NA,Ashy Wood-Pigeon
2017,NA,NA,Ashy Wood-Pigeon
2018,NA,NA,Ashy Wood-Pigeon
2014,0.08047113,0.007833895,Ashy Woodswallow
2015,0.0715286,0.006870363,Ashy Woodswallow
2016,0.060539939,0.005811012,Ashy Woodswallow
2017,0.062277204,0.006009045,Ashy Woodswallow
2018,0.062209088,0.00599593,Ashy Woodswallow
2014,0.092999283,0.010964065,Asian Barred Owlet
2015,0.087905506,0.010229243,Asian Barred Owlet
2016,0.083384687,0.009532392,Asian Barred Owlet
2017,0.088601721,0.010066775,Asian Barred Owlet
2018,0.090255824,0.010062887,Asian Barred Owlet
2014,0.023616155,0.002250586,Asian Brown Flycatcher
2015,0.023696387,0.00220701,Asian Brown Flycatcher
2016,0.022647686,0.002060288,Asian Brown Flycatcher
2017,0.021634947,0.001980668,Asian Brown Flycatcher
2018,0.021786901,0.00199277,Asian Brown Flycatcher
2014,0.056694016,0.006189998,Asian Emerald Dove
2015,0.056844111,0.006148468,Asian Emerald Dove
2016,0.056029361,0.005982686,Asian Emerald Dove
2017,0.05600554,0.005996521,Asian Emerald Dove
2018,0.057103797,0.006121251,Asian Emerald Dove
2014,0.038016579,0.006075463,Asian Fairy-bluebird
2015,0.035498687,0.005611016,Asian Fairy-bluebird
2016,0.036294725,0.005755058,Asian Fairy-bluebird
2017,0.03678604,0.005811829,Asian Fairy-bluebird
2018,0.037292367,0.005912485,Asian Fairy-bluebird
2014,0.235303353,0.009321145,Asian Koel
2015,0.252996396,0.009515986,Asian Koel
2016,0.243439735,0.009313143,Asian Koel
2017,0.283602076,0.010386993,Asian Koel
2018,0.285826765,0.010415172,Asian Koel
2014,0.176960458,0.010575508,Asian Openbill
2015,0.151720719,0.009146983,Asian Openbill
2016,0.143444371,0.008695388,Asian Openbill
2017,0.133634186,0.008146279,Asian Openbill
2018,0.13047226,0.007877662,Asian Openbill
2014,0.101139761,0.008189667,Asian Palm-Swift
2015,0.110425786,0.008770632,Asian Palm-Swift
2016,0.112380304,0.0088166,Asian Palm-Swift
2017,0.100156284,0.007946198,Asian Palm-Swift
2018,0.116434979,0.009056459,Asian Palm-Swift
2014,0.244382051,0.018278406,Asian Pied Starling
2015,0.246782853,0.018147775,Asian Pied Starling
2016,0.248940974,0.017931287,Asian Pied Starling
2017,0.252685283,0.018159252,Asian Pied Starling
2018,0.265190017,0.018809667,Asian Pied Starling
2014,NA,NA,Assam Laughingthrush
2015,NA,NA,Assam Laughingthrush
2016,NA,NA,Assam Laughingthrush
2017,NA,NA,Assam Laughingthrush
2018,NA,NA,Assam Laughingthrush
