"India.Checklist.Name","eBird.species.code.2019","Migratory.Status","Habitat Specialization","Endemicity"
"Fulvous Whistling Duck","fuwduc","Resident","Wetland","Non-Endemic"
"Lesser Whistling Duck","lewduc1","Resident","Wetland","Non-Endemic"
"Bar-headed Goose","bahgoo","Within-Region Migrant","Wetland","Non-Endemic"
"Greylag Goose","gragoo","Long-Distance Migrant","Wetland","Non-Endemic"
"Comb Duck","comduc2","Resident","Wetland","Non-Endemic"
"Ruddy Shelduck","rudshe","Within-Region Migrant","Wetland","Non-Endemic"
"Cotton Teal","copgoo1","Resident","Wetland","Non-Endemic"
"Garganey","gargan","Long-Distance Migrant","Wetland","Non-Endemic"
"Northern Shoveler","norsho","Long-Distance Migrant","Wetland","Non-Endemic"
"Gadwall","gadwal","Long-Distance Migrant","Wetland","Non-Endemic"
"Eurasian Wigeon","eurwig","Long-Distance Migrant","Wetland","Non-Endemic"
"Indian Spot-billed Duck","isbduc1","Resident","Wetland","Non-Endemic"
"Mallard","mallar3","Long-Distance Migrant","Wetland","Non-Endemic"
"Northern Pintail","norpin","Long-Distance Migrant","Wetland","Non-Endemic"
"Common Teal","gnwtea","Long-Distance Migrant","Wetland","Non-Endemic"
"Andaman Teal","andtea1","Resident","Wetland","South Asia, India, A & N Islands"
"White-winged Wood Duck","whwduc1","Resident","Wetland","Non-Endemic"
"Red-crested Pochard","recpoc","Long-Distance Migrant","Wetland","Non-Endemic"
"Common Pochard","compoc","Long-Distance Migrant","Wetland","Non-Endemic"
"Ferruginous Duck","ferduc","Long-Distance Migrant","Wetland","Non-Endemic"
"Tufted Duck","tufduc","Long-Distance Migrant","Wetland","Non-Endemic"
"Common Merganser","commer","Within-Region Migrant","Wetland","Non-Endemic"
"Nicobar Megapode","nicscr1","Resident","Woodland, Tropical Forest","South Asia, India, A & N Islands"
"Common Hill Partridge","hilpar1","Resident","Woodland, Temperate Forest","Himalayas & NE India"
"Chestnut-breasted Hill Partridge","chbpar2","Resident","Woodland","South Asia, Himalayas & NE India, NE India"
"Rufous-throated Hill Partridge","rutpar1","Resident","Woodland, Temperate Forest","Non-Endemic"
"White-cheeked Hill Partridge","whcpar1","Resident","Woodland","Himalayas & NE India, NE India"
"Indian Peafowl","compea","Resident","Generalist","South Asia"
"Red Spurfowl","redspu1","Resident","Woodland","South Asia, India, Mainland India"
"Painted Spurfowl","paispu1","Resident","Woodland, Scrub","South Asia, India, Mainland India"
"Rain Quail","raiqua1","Resident","Grassland","Non-Endemic"
"Chukar Partridge","chukar","Resident","Generalist","Non-Endemic"
"Himalayan Snowcock","himsno","Resident","Woodland, Temperate Forest, Grassland","Himalayas & NE India"
