India.Checklist.Name,eBird.species.code.2019,Maps,Trends
Fulvous Whistling Duck,fuwduc,Fulvous Whistling Duck_terrain,Fulvous Whistling Duck_trend
Lesser Whistling Duck,lewduc1,Lesser Whistling Duck_terrain,Lesser Whistling Duck_trend
Bar-headed Goose,bahgoo,Bar-headed Goose_terrain,Bar-headed Goose_trend
Greylag Goose,gragoo,Greylag Goose_terrain,Greylag Goose_trend
Comb Duck,comduc2,Comb Duck_terrain,Comb Duck_trend
Ruddy Shelduck,rudshe,Ruddy Shelduck_terrain,Ruddy Shelduck_trend
Cotton Teal,copgoo1,Cotton Teal_terrain,Cotton Teal_trend
Garganey,gargan,Garganey_terrain,Garganey_trend
Northern Shoveler,norsho,Northern Shoveler_terrain,Northern Shoveler_trend
Gadwall,gadwal,Gadwall_terrain,Gadwall_trend
Eurasian Wigeon,eurwig,Eurasian Wigeon_terrain,Eurasian Wigeon_trend
Indian Spot-billed Duck,isbduc1,Indian Spot-billed Duck_terrain,Indian Spot-billed Duck_trend
Mallard,mallar3,Mallard_terrain,Mallard_trend
Northern Pintail,norpin,Northern Pintail_terrain,Northern Pintail_trend
Common Teal,gnwtea,Common Teal_terrain,Common Teal_trend
Andaman Teal,andtea1,Andaman Teal_terrain,Andaman Teal_trend
White-winged Wood Duck,whwduc1,White-winged Wood Duck_terrain,White-winged Wood Duck_trend
Red-crested Pochard,recpoc,Red-crested Pochard_terrain,Red-crested Pochard_trend
Common Pochard,compoc,Common Pochard_terrain,Common Pochard_trend
Ferruginous Duck,ferduc,Ferruginous Duck_terrain,Ferruginous Duck_trend
Tufted Duck,tufduc,Tufted Duck_terrain,Tufted Duck_trend
Common Merganser,commer,Common Merganser_terrain,Common Merganser_trend
Nicobar Megapode,nicscr1,Nicobar Megapode_terrain,Nicobar Megapode_trend
Common Hill Partridge,hilpar1,Common Hill Partridge_terrain,Common Hill Partridge_trend
Chestnut-breasted Hill Partridge,chbpar2,Chestnut-breasted Hill Partridge_terrain,Chestnut-breasted Hill Partridge_trend
Rufous-throated Hill Partridge,rutpar1,Rufous-throated Hill Partridge_terrain,Rufous-throated Hill Partridge_trend
White-cheeked Hill Partridge,whcpar1,White-cheeked Hill Partridge_terrain,White-cheeked Hill Partridge_trend
Indian Peafowl,compea,Indian Peafowl_terrain,Indian Peafowl_trend
Red Spurfowl,redspu1,Red Spurfowl_terrain,Red Spurfowl_trend
Painted Spurfowl,paispu1,Painted Spurfowl_terrain,Painted Spurfowl_trend
Rain Quail,raiqua1,Rain Quail_terrain,Rain Quail_trend
Chukar Partridge,chukar,Chukar Partridge_terrain,Chukar Partridge_trend
Himalayan Snowcock,himsno,Himalayan Snowcock_terrain,Himalayan Snowcock_trend
Jungle Bush Quail,jubqua1,Jungle Bush Quail_terrain,Jungle Bush Quail_trend
Rock Bush Quail,robqua1,Rock Bush Quail_terrain,Rock Bush Quail_trend
Painted Bush Quail,pabqua1,Painted Bush Quail_terrain,Painted Bush Quail_trend
Manipur Bush Quail,mabqua1,Manipur Bush Quail_terrain,Manipur Bush Quail_trend
Himalayan Quail,himqua1,Himalayan Quail_terrain,Himalayan Quail_trend
Black Francolin,blkfra,Black Francolin_terrain,Black Francolin_trend
Painted Francolin,paifra1,Painted Francolin_terrain,Painted Francolin_trend
Grey Francolin,gryfra,Grey Francolin_terrain,Grey Francolin_trend
Swamp Francolin,swafra1,Swamp Francolin_terrain,Swamp Francolin_trend
Mountain Bamboo Partridge,mobpar1,Mountain Bamboo Partridge_terrain,Mountain Bamboo Partridge_trend
Red Junglefowl,redjun,Red Junglefowl_terrain,Red Junglefowl_trend
Grey Junglefowl,grejun2,Grey Junglefowl_terrain,Grey Junglefowl_trend
Blood Pheasant,blophe1,Blood Pheasant_terrain,Blood Pheasant_trend
Himalayan Monal,himmon1,Himalayan Monal_terrain,Himalayan Monal_trend
Sclater's Monal,sclmon1,Sclater's Monal_terrain,Sclater's Monal_trend
Snow Partridge,snopar1,Snow Partridge_terrain,Snow Partridge_trend
Western Tragopan,westra1,Western Tragopan_terrain,Western Tragopan_trend
Satyr Tragopan,sattra1,Satyr Tragopan_terrain,Satyr Tragopan_trend
Blyth's Tragopan,blytra1,Blyth's Tragopan_terrain,Blyth's Tragopan_trend
Cheer Pheasant,chephe1,Cheer Pheasant_terrain,Cheer Pheasant_trend
Kalij Pheasant,kalphe,Kalij Pheasant_terrain,Kalij Pheasant_trend
Koklass Pheasant,kokphe1,Koklass Pheasant_terrain,Koklass Pheasant_trend
Greater Flamingo,grefla3,Greater Flamingo_terrain,Greater Flamingo_trend
Lesser Flamingo,lesfla1,Lesser Flamingo_terrain,Lesser Flamingo_trend
Little Grebe,litgre1,Little Grebe_terrain,Little Grebe_trend
Great Crested Grebe,grcgre1,Great Crested Grebe_terrain,Great Crested Grebe_trend
Rock Pigeon,rocpig,Rock Pigeon_terrain,Rock Pigeon_trend
Hill Pigeon,hilpig1,Hill Pigeon_terrain,Hill Pigeon_trend
Snow Pigeon,snopig1,Snow Pigeon_terrain,Snow Pigeon_trend
Yellow-eyed Pigeon,pabpig1,Yellow-eyed Pigeon_terrain,Yellow-eyed Pigeon_trend
Speckled Wood Pigeon,spwpig1,Speckled Wood Pigeon_terrain,Speckled Wood Pigeon_trend
Ashy Wood Pigeon,aswpig1,Ashy Wood Pigeon_terrain,Ashy Wood Pigeon_trend
Nilgiri Wood Pigeon,niwpig1,Nilgiri Wood Pigeon_terrain,Nilgiri Wood Pigeon_trend
Pale-capped Pigeon,pacpig1,Pale-capped Pigeon_terrain,Pale-capped Pigeon_trend
Andaman Wood Pigeon,anwpig1,Andaman Wood Pigeon_terrain,Andaman Wood Pigeon_trend
Oriental Turtle Dove,ortdov,Oriental Turtle Dove_terrain,Oriental Turtle Dove_trend
Eurasian Collared Dove,eucdov,Eurasian Collared Dove_terrain,Eurasian Collared Dove_trend
Red Collared Dove,recdov1,Red Collared Dove_terrain,Red Collared Dove_trend
Spotted Dove,spodov,Spotted Dove_terrain,Spotted Dove_trend
Laughing Dove,laudov1,Laughing Dove_terrain,Laughing Dove_trend
Barred Cuckoo Dove,bacdov1,Barred Cuckoo Dove_terrain,Barred Cuckoo Dove_trend
Andaman Cuckoo Dove,ancdov1,Andaman Cuckoo Dove_terrain,Andaman Cuckoo Dove_trend
Asian Emerald Dove,emedov2,Asian Emerald Dove_terrain,Asian Emerald Dove_trend
