eBird CODE,SCIENTIFIC.NAME,COMMON.NAME,order,family,genus,species
fuwduc,Dendrocygna bicolor,Fulvous Whistling-Duck,Anseriformes,Anatidae,Dendrocygna,bicolor
lewduc1,Dendrocygna javanica,Lesser Whistling-Duck,Anseriformes,Anatidae,Dendrocygna,javanica
whhduc1,Oxyura leucocephala,White-headed Duck,Anseriformes,Anatidae,Oxyura,leucocephala
mutswa,Cygnus olor,Mute Swan,Anseriformes,Anatidae,Cygnus,olor
tunswa,Cygnus columbianus,Tundra Swan,Anseriformes,Anatidae,Cygnus,columbianus
whoswa,Cygnus cygnus,Whooper Swan,Anseriformes,Anatidae,Cygnus,cygnus
rebgoo1,Branta ruficollis,Red-breasted Goose,Anseriformes,Anatidae,Branta,ruficollis
bahgoo,Anser indicus,Bar-headed Goose,Anseriformes,Anatidae,Anser,indicus
gragoo,Anser anser,Graylag Goose,Anseriformes,Anatidae,Anser,anser
taibeg1,Anser fabalis,Taiga Bean-Goose,Anseriformes,Anatidae,Anser,fabalis
tunbeg1,Anser serrirostris,Tundra Bean-Goose,Anseriformes,Anatidae,Anser,serrirostris
gwfgoo,Anser albifrons,Greater White-fronted Goose,Anseriformes,Anatidae,Anser,albifrons
lwfgoo,Anser erythropus,Lesser White-fronted Goose,Anseriformes,Anatidae,Anser,erythropus
lotduc,Clangula hyemalis,Long-tailed Duck,Anseriformes,Anatidae,Clangula,hyemalis
comgol,Bucephala clangula,Common Goldeneye,Anseriformes,Anatidae,Bucephala,clangula
smew,Mergellus albellus,Smew,Anseriformes,Anatidae,Mergellus,albellus
commer,Mergus merganser,Common Merganser,Anseriformes,Anatidae,Mergus,merganser
rebmer,Mergus serrator,Red-breasted Merganser,Anseriformes,Anatidae,Mergus,serrator
comshe,Tadorna tadorna,Common Shelduck,Anseriformes,Anatidae,Tadorna,tadorna
rudshe,Tadorna ferruginea,Ruddy Shelduck,Anseriformes,Anatidae,Tadorna,ferruginea
martea1,Marmaronetta angustirostris,Marbled Teal,Anseriformes,Anatidae,Marmaronetta,angustirostris
whwduc1,Asarcornis scutulata,White-winged Duck,Anseriformes,Anatidae,Asarcornis,scutulata
recpoc,Netta rufina,Red-crested Pochard,Anseriformes,Anatidae,Netta,rufina
compoc,Aythya ferina,Common Pochard,Anseriformes,Anatidae,Aythya,ferina
baepoc1,Aythya baeri,Baer's Pochard,Anseriformes,Anatidae,Aythya,baeri
ferduc,Aythya nyroca,Ferruginous Duck,Anseriformes,Anatidae,Aythya,nyroca
tufduc,Aythya fuligula,Tufted Duck,Anseriformes,Anatidae,Aythya,fuligula
gresca,Aythya marila,Greater Scaup,Anseriformes,Anatidae,Aythya,marila
pihduc1,Rhodonessa caryophyllacea,Pink-headed Duck,Anseriformes,Anatidae,Rhodonessa,caryophyllacea
gargan,Spatula querquedula,Garganey,Anseriformes,Anatidae,Spatula,querquedula
norsho,Spatula clypeata,Northern Shoveler,Anseriformes,Anatidae,Spatula,clypeata
baitea,Sibirionetta formosa,Baikal Teal,Anseriformes,Anatidae,Sibirionetta,formosa
falduc,Mareca falcata,Falcated Duck,Anseriformes,Anatidae,Mareca,falcata
gadwal,Mareca strepera,Gadwall,Anseriformes,Anatidae,Mareca,strepera
eurwig,Mareca penelope,Eurasian Wigeon,Anseriformes,Anatidae,Mareca,penelope
spbduc,Anas zonorhyncha,Eastern Spot-billed Duck,Anseriformes,Anatidae,Anas,zonorhyncha
isbduc1,Anas poecilorhyncha,Indian Spot-billed Duck,Anseriformes,Anatidae,Anas,poecilorhyncha
andtea1,Anas albogularis,Andaman Teal,Anseriformes,Anatidae,Anas,albogularis
norpin,Anas acuta,Northern Pintail,Anseriformes,Anatidae,Anas,acuta
gnwtea,Anas crecca,Green-winged Teal,Anseriformes,Anatidae,Anas,crecca
comduc2,Sarkidiornis melanotos,Knob-billed Duck,Anseriformes,Anatidae,Sarkidiornis,melanotos
manduc,Aix galericulata,Mandarin Duck,Anseriformes,Anatidae,Aix,galericulata
copgoo1,Nettapus coromandelianus,Cotton Pygmy-Goose,Anseriformes,Anatidae,Nettapus,coromandelianus
nicscr1,Megapodius nicobariensis,Nicobar Scrubfowl,Galliformes,Megapodiidae,Megapodius,nicobariensis
hilpar1,Arborophila torqueola,Hill Partridge,Galliformes,Phasianidae,Arborophila,torqueola
rutpar1,Arborophila rufogularis,Rufous-throated Partridge,Galliformes,Phasianidae,Arborophila,rufogularis
whcpar1,Arborophila atrogularis,White-cheeked Partridge,Galliformes,Phasianidae,Arborophila,atrogularis
chbpar2,Arborophila mandellii,Chestnut-breasted Partridge,Galliformes,Phasianidae,Arborophila,mandellii
compea,Pavo cristatus,Indian Peafowl,Galliformes,Phasianidae,Pavo,cristatus
grepea1,Pavo muticus,Green Peafowl,Galliformes,Phasianidae,Pavo,muticus
grypep2,Polyplectron bicalcaratum,Gray Peacock-Pheasant,Galliformes,Phasianidae,Polyplectron,bicalcaratum
comqua1,Coturnix coturnix,Common Quail,Galliformes,Phasianidae,Coturnix,coturnix
japqua,Coturnix japonica,Japanese Quail,Galliformes,Phasianidae,Coturnix,japonica
raiqua1,Coturnix coromandelica,Rain Quail,Galliformes,Phasianidae,Coturnix,coromandelica
blbqua1,Synoicus chinensis,Blue-breasted Quail,Galliformes,Phasianidae,Synoicus,chinensis
himsno,Tetraogallus himalayensis,Himalayan Snowcock,Galliformes,Phasianidae,Tetraogallus,himalayensis
tibsno1,Tetraogallus tibetanus,Tibetan Snowcock,Galliformes,Phasianidae,Tetraogallus,tibetanus
chukar,Alectoris chukar,Chukar,Galliformes,Phasianidae,Alectoris,chukar
snopar1,Lerwa lerwa,Snow Partridge,Galliformes,Phasianidae,Lerwa,lerwa
jubqua1,Perdicula asiatica,Jungle Bush-Quail,Galliformes,Phasianidae,Perdicula,asiatica
robqua1,Perdicula argoondah,Rock Bush-Quail,Galliformes,Phasianidae,Perdicula,argoondah
pabqua1,Perdicula erythrorhyncha,Painted Bush-Quail,Galliformes,Phasianidae,Perdicula,erythrorhyncha
mabqua1,Perdicula manipurensis,Manipur Bush-Quail,Galliformes,Phasianidae,Perdicula,manipurensis
himqua1,Ophrysia superciliosa,Himalayan Quail,Galliformes,Phasianidae,Ophrysia,superciliosa
blkfra,Francolinus francolinus,Black Francolin,Galliformes,Phasianidae,Francolinus,francolinus
paifra1,Francolinus pictus,Painted Francolin,Galliformes,Phasianidae,Francolinus,pictus
chifra1,Francolinus pintadeanus,Chinese Francolin,Galliformes,Phasianidae,Francolinus,pintadeanus
gryfra,Francolinus pondicerianus,Gray Francolin,Galliformes,Phasianidae,Francolinus,pondicerianus
swafra1,Francolinus gularis,Swamp Francolin,Galliformes,Phasianidae,Francolinus,gularis
mobpar1,Bambusicola fytchii,Mountain Bamboo-Partridge,Galliformes,Phasianidae,Bambusicola,fytchii
redjun,Gallus gallus,Red Junglefowl,Galliformes,Phasianidae,Gallus,gallus
grejun2,Gallus sonneratii,Gray Junglefowl,Galliformes,Phasianidae,Gallus,sonneratii
himmon1,Lophophorus impejanus,Himalayan Monal,Galliformes,Phasianidae,Lophophorus,impejanus
sclmon1,Lophophorus sclateri,Sclater's Monal,Galliformes,Phasianidae,Lophophorus,sclateri
westra1,Tragopan melanocephalus,Western Tragopan,Galliformes,Phasianidae,Tragopan,melanocephalus
sattra1,Tragopan satyra,Satyr Tragopan,Galliformes,Phasianidae,Tragopan,satyra
blytra1,Tragopan blythii,Blyth's Tragopan,Galliformes,Phasianidae,Tragopan,blythii
temtra1,Tragopan temminckii,Temminck's Tragopan,Galliformes,Phasianidae,Tragopan,temminckii
humphe1,Syrmaticus humiae,Hume's Pheasant,Galliformes,Phasianidae,Syrmaticus,humiae
chephe1,Catreus wallichii,Cheer Pheasant,Galliformes,Phasianidae,Catreus,wallichii
kalphe,Lophura leucomelanos,Kalij Pheasant,Galliformes,Phasianidae,Lophura,leucomelanos
tibpar1,Perdix hodgsoniae,Tibetan Partridge,Galliformes,Phasianidae,Perdix,hodgsoniae
redspu1,Galloperdix spadicea,Red Spurfowl,Galliformes,Phasianidae,Galloperdix,spadicea
paispu1,Galloperdix lunulata,Painted Spurfowl,Galliformes,Phasianidae,Galloperdix,lunulata
kokphe1,Pucrasia macrolopha,Koklass Pheasant,Galliformes,Phasianidae,Pucrasia,macrolopha
blophe1,Ithaginis cruentus,Blood Pheasant,Galliformes,Phasianidae,Ithaginis,cruentus
grefla3,Phoenicopterus roseus,Greater Flamingo,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,roseus
lesfla1,Phoeniconaias minor,Lesser Flamingo,Phoenicopteriformes,Phoenicopteridae,Phoeniconaias,minor
litgre1,Tachybaptus ruficollis,Little Grebe,Podicipediformes,Podicipedidae,Tachybaptus,ruficollis
rengre,Podiceps grisegena,Red-necked Grebe,Podicipediformes,Podicipedidae,Podiceps,grisegena
grcgre1,Podiceps cristatus,Great Crested Grebe,Podicipediformes,Podicipedidae,Podiceps,cristatus
horgre,Podiceps auritus,Horned Grebe,Podicipediformes,Podicipedidae,Podiceps,auritus
eargre,Podiceps nigricollis,Eared Grebe,Podicipediformes,Podicipedidae,Podiceps,nigricollis
rocpig,Columba livia,Rock Pigeon,Columbiformes,Columbidae,Columba,livia
hilpig1,Columba rupestris,Hill Pigeon,Columbiformes,Columbidae,Columba,rupestris
snopig1,Columba leuconota,Snow Pigeon,Columbiformes,Columbidae,Columba,leuconota
pabpig1,Columba eversmanni,Pale-backed Pigeon,Columbiformes,Columbidae,Columba,eversmanni
cowpig1,Columba palumbus,Common Wood-Pigeon,Columbiformes,Columbidae,Columba,palumbus
spwpig1,Columba hodgsonii,Speckled Wood-Pigeon,Columbiformes,Columbidae,Columba,hodgsonii
aswpig1,Columba pulchricollis,Ashy Wood-Pigeon,Columbiformes,Columbidae,Columba,pulchricollis
niwpig1,Columba elphinstonii,Nilgiri Wood-Pigeon,Columbiformes,Columbidae,Columba,elphinstonii
pacpig1,Columba punicea,Pale-capped Pigeon,Columbiformes,Columbidae,Columba,punicea
anwpig1,Columba palumboides,Andaman Wood-Pigeon,Columbiformes,Columbidae,Columba,palumboides
eutdov,Streptopelia turtur,European Turtle-Dove,Columbiformes,Columbidae,Streptopelia,turtur
ortdov,Streptopelia orientalis,Oriental Turtle-Dove,Columbiformes,Columbidae,Streptopelia,orientalis
eucdov,Streptopelia decaocto,Eurasian Collared-Dove,Columbiformes,Columbidae,Streptopelia,decaocto
recdov1,Streptopelia tranquebarica,Red Collared-Dove,Columbiformes,Columbidae,Streptopelia,tranquebarica
spodov,Streptopelia chinensis,Spotted Dove,Columbiformes,Columbidae,Streptopelia,chinensis
laudov1,Streptopelia senegalensis,Laughing Dove,Columbiformes,Columbidae,Streptopelia,senegalensis
bacdov1,Macropygia unchall,Barred Cuckoo-Dove,Columbiformes,Columbidae,Macropygia,unchall
ancdov1,Macropygia rufipennis,Andaman Cuckoo-Dove,Columbiformes,Columbidae,Macropygia,rufipennis
orbpig1,Treron bicinctus,Orange-breasted Pigeon,Columbiformes,Columbidae,Treron,bicinctus
pomgrp5,Treron phayrei,Ashy-headed Green-Pigeon,Columbiformes,Columbidae,Treron,phayrei
pomgrp2,Treron affinis,Gray-fronted Green-Pigeon,Columbiformes,Columbidae,Treron,affinis
pomgrp4,Treron chloropterus,Andaman Green-Pigeon,Columbiformes,Columbidae,Treron,chloropterus
thbpig1,Treron curvirostra,Thick-billed Pigeon,Columbiformes,Columbidae,Treron,curvirostra
yefpig1,Treron phoenicopterus,Yellow-footed Pigeon,Columbiformes,Columbidae,Treron,phoenicopterus
pitpig1,Treron apicauda,Pin-tailed Pigeon,Columbiformes,Columbidae,Treron,apicauda
wetpig1,Treron sphenurus,Wedge-tailed Pigeon,Columbiformes,Columbidae,Treron,sphenurus
nicpig1,Caloenas nicobarica,Nicobar Pigeon,Columbiformes,Columbidae,Caloenas,nicobarica
emedov2,Chalcophaps indica,Asian Emerald Dove,Columbiformes,Columbidae,Chalcophaps,indica
namdov1,Oena capensis,Namaqua Dove,Columbiformes,Columbidae,Oena,capensis
gripig1,Ducula aenea,Green Imperial-Pigeon,Columbiformes,Columbidae,Ducula,aenea
grnimp2,Ducula nicobarica,Nicobar Imperial-Pigeon,Columbiformes,Columbidae,Ducula,nicobarica
moipig1,Ducula badia,Mountain Imperial-Pigeon,Columbiformes,Columbidae,Ducula,badia
piipig1,Ducula bicolor,Pied Imperial-Pigeon,Columbiformes,Columbidae,Ducula,bicolor
tibsan1,Syrrhaptes tibetanus,Tibetan Sandgrouse,Pterocliformes,Pteroclidae,Syrrhaptes,tibetanus
palsan1,Syrrhaptes paradoxus,Pallas's Sandgrouse,Pterocliformes,Pteroclidae,Syrrhaptes,paradoxus
pitsan1,Pterocles alchata,Pin-tailed Sandgrouse,Pterocliformes,Pteroclidae,Pterocles,alchata
chbsan,Pterocles exustus,Chestnut-bellied Sandgrouse,Pterocliformes,Pteroclidae,Pterocles,exustus
sposan1,Pterocles senegallus,Spotted Sandgrouse,Pterocliformes,Pteroclidae,Pterocles,senegallus
blbsan1,Pterocles orientalis,Black-bellied Sandgrouse,Pterocliformes,Pteroclidae,Pterocles,orientalis
paisan1,Pterocles indicus,Painted Sandgrouse,Pterocliformes,Pteroclidae,Pterocles,indicus
rebtro,Phaethon aethereus,Red-billed Tropicbird,Phaethontiformes,Phaethontidae,Phaethon,aethereus
rettro,Phaethon rubricauda,Red-tailed Tropicbird,Phaethontiformes,Phaethontidae,Phaethon,rubricauda
whttro,Phaethon lepturus,White-tailed Tropicbird,Phaethontiformes,Phaethontidae,Phaethon,lepturus
ceyfro1,Batrachostomus moniliger,Sri Lanka Frogmouth,Caprimulgiformes,Podargidae,Batrachostomus,moniliger
hodfro1,Batrachostomus hodgsoni,Hodgson's Frogmouth,Caprimulgiformes,Podargidae,Batrachostomus,hodgsoni
grenig1,Lyncornis macrotis,Great Eared-Nightjar,Caprimulgiformes,Caprimulgidae,Lyncornis,macrotis
grynig1,Caprimulgus jotaka,Gray Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,jotaka
grynig2,Caprimulgus indicus,Jungle Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,indicus
eurnig1,Caprimulgus europaeus,Eurasian Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,europaeus
syknig1,Caprimulgus mahrattensis,Sykes's Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,mahrattensis
jernig1,Caprimulgus atripennis,Jerdon's Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,atripennis
latnig2,Caprimulgus macrurus,Large-tailed Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,macrurus
