CATEGORY,COMMON.NAME,SCIENTIFIC.NAME,SUBSPECIES.COMMON.NAME,SUBSPECIES.SCIENTIFIC.NAME
spuh,accentor sp.,Prunella sp.,NA,NA
spuh,Accipiter sp.,Accipiter sp.,NA,NA
spuh,Acrocephalus sp.,Acrocephalus sp.,NA,NA
spuh,Aethopyga sp.,Aethopyga sp.,NA,NA
slash,Alexandrine/Rose-ringed Parakeet,Psittacula eupatria/krameri,NA,NA
slash,Alpine/Himalayan Thrush,Zoothera mollissima/salimalii,NA,NA
spuh,Ammomanes sp.,Ammomanes sp.,NA,NA
spuh,Anser sp.,Anser sp.,NA,NA
spuh,Apus sp.,Apus sp.,NA,NA
spuh,Aquila sp.,Aquila sp.,NA,NA
spuh,Arborophila sp.,Arborophila sp.,NA,NA
spuh,Ardea sp.,Ardea sp.,NA,NA
issf,Ashy Bulbul,Hemixos flavala,Ashy Bulbul (Ashy),Hemixos flavala [flavala Group]
issf,Ashy Drongo,Dicrurus leucophaeus,Ashy Drongo (Blackish),Dicrurus leucophaeus [longicaudatus Group]
slash,Ashy/Brown-rumped Minivet,Pericrocotus divaricatus/cantonensis,NA,NA
spuh,asian barbet sp.,Megalaimidae sp.,NA,NA
slash,Asian Barred/Jungle Owlet,Glaucidium cuculoides/radiatum,NA,NA
issf,Asian Fairy-bluebird,Irena puella,Asian Fairy-bluebird (Asian),Irena puella [puella Group]
issf,Asian Pied Starling,Gracupica contra,Asian Pied Starling (Asian),Gracupica contra [contra Group]
spuh,Aythya sp.,Aythya sp.,NA,NA
slash,Baikal/Spotted Bush Warbler,Locustella davidi/thoracica,NA,NA
issf,Baillon's Crake,Zapornia pusilla,Baillon's Crake (Eastern),Zapornia pusilla pusilla
slash,Bank Swallow/Pale Sand Martin,Riparia riparia/diluta,NA,NA
issf,Bar-tailed Godwit,Limosa lapponica,Bar-tailed Godwit (European),Limosa lapponica lapponica
issf,Barn Owl,Tyto alba,Barn Owl (Eurasian),Tyto alba [alba Group]
issf,Barn Swallow,Hirundo rustica,Barn Swallow (Buff-bellied),Hirundo rustica gutturalis/mandschurica
issf,Barn Swallow,Hirundo rustica,Barn Swallow (White-bellied),Hirundo rustica rustica
issf,Bearded Vulture,Gypaetus barbatus,Bearded Vulture (Eurasian),Gypaetus barbatus barbatus
spuh,bee-eater sp.,Merops sp.,NA,NA
spuh,bird sp.,Aves sp.,NA,NA
spuh,Black-bellied Plover/golden-plover sp.,Pluvialis sp.,NA,NA
slash,Black-bellied/River Tern,Sterna acuticauda/aurantia,NA,NA
issf,Black-browed Tit,Aegithalos iouschistos,Black-browed Tit (Black-browed),Aegithalos iouschistos bonvaloti/obscuratus
issf,Black-browed Tit,Aegithalos iouschistos,Black-browed Tit (Rufous-fronted),Aegithalos iouschistos iouschistos
issf,Black-crowned Night-Heron,Nycticorax nycticorax,Black-crowned Night-Heron (Eurasian),Nycticorax nycticorax nycticorax
slash,Black-headed/Brown-headed Gull,Chroicocephalus ridibundus/brunnicephalus,NA,NA
slash,Black-headed/Red-headed Bunting,Emberiza melanocephala/bruniceps,NA,NA
issf,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole (East Asian),Oriolus chinensis diffusus
issf,Black-rumped Flameback,Dinopium benghalense,Black-rumped Flameback (Black-rumped),Dinopium benghalense [benghalense Group]
issf,Black-tailed Godwit,Limosa limosa,Black-tailed Godwit (limosa),Limosa limosa limosa
issf,Black-throated Parrotbill,Suthora nipalensis,Black-throated Parrotbill (Black-throated),Suthora nipalensis nipalensis/crocotius
issf,Black-throated Prinia,Prinia atrogularis,Black-throated Prinia (Black-throated),Prinia atrogularis atrogularis
issf,Black-throated Tit,Aegithalos concinnus,Black-throated Tit (Red-headed),Aegithalos concinnus iredalei
issf,Black-winged Kite,Elanus caeruleus,Black-winged Kite (Asian),Elanus caeruleus [vociferus Group]
issf,Black Bulbul,Hypsipetes leucocephalus,Black Bulbul (leucocephalus Group),Hypsipetes leucocephalus [leucocephalus Group]
issf,Black Kite,Milvus migrans,Black Kite (Black),Milvus migrans [migrans Group]
issf,Black Kite,Milvus migrans,Black Kite (Black-eared),Milvus migrans lineatus/formosanus
issf,Black Redstart,Phoenicurus ochruros,Black Redstart (Eastern),Phoenicurus ochruros [ochruros Group]
slash,Black/Ashy Drongo,Dicrurus macrocercus/leucophaeus,NA,NA
slash,Blue-cheeked/Blue-tailed Bee-eater,Merops persicus/philippinus,NA,NA
issf,Blue-throated Barbet,Psilopogon asiaticus,Blue-throated Barbet (Red-crowned),Psilopogon asiaticus asiaticus
slash,Blue-throated/Tickell's Blue Flycatcher,Cyornis rubeculoides/tickelliae,NA,NA
spuh,blue flycatcher sp.,Cyornis sp.,NA,NA
issf,Blue Rock-Thrush,Monticola solitarius,Blue Rock-Thrush (pandoo),Monticola solitarius pandoo
issf,Blue Rock-Thrush,Monticola solitarius,Blue Rock-Thrush (madoci),Monticola solitarius madoci
issf,Blue Rock-Thrush,Monticola solitarius,Blue Rock-Thrush (solitarius/longirostris),Monticola solitarius solitarius/longirostris
issf,Blue Whistling-Thrush,Myophonus caeruleus,Blue Whistling-Thrush (Yellow-billed),Myophonus caeruleus [flavirostris Group]
issf,Bluethroat,Luscinia svecica,Bluethroat (Red-spotted),Luscinia svecica [svecica Group]
issf,Blyth's Paradise-Flycatcher,Terpsiphone affinis,Blyth's Paradise-Flycatcher (Blyth's),Terpsiphone affinis [affinis Group]
issf,Blyth's Shrike-Babbler,Pteruthius aeralatus,Blyth's Shrike-Babbler (Chestnut-winged),Pteruthius aeralatus validirostris
slash,Blyth's/Indian Paradise-Flycatcher,Terpsiphone affinis/paradisi,NA,NA
slash,Booted/Sykes's Warbler,Iduna caligata/rama,NA,NA
spuh,Brachypodius/Rubigula/Pycnonotus sp.,Brachypodius/Rubigula/Pycnonotus sp.,NA,NA
spuh,Brachypteryx sp.,Brachypteryx sp.,NA,NA
spuh,Bradypterus sp.,Bradypterus sp.,NA,NA
slash,Brown-capped/Gray-capped Woodpecker,Yungipicus nanus/canicapillus,NA,NA
issf,Brown Fish-Owl,Ketupa zeylonensis,Brown Fish-Owl (Eastern),Ketupa zeylonensis [zeylonensis Group]
issf,Brown Shrike,Lanius cristatus,Brown Shrike (Philippine),Lanius cristatus lucionensis
issf,Brown Shrike,Lanius cristatus,Brown Shrike (Japanese),Lanius cristatus superciliosus
issf,Brown Shrike,Lanius cristatus,Brown Shrike (Brown),Lanius cristatus cristatus/confusus
issf,Brownish-flanked Bush Warbler,Horornis fortipes,Brownish-flanked Bush Warbler (Brownish-flanked),Horornis fortipes [fortipes Group]
domestic,Budgerigar (Domestic type),Melopsittacus undulatus (Domestic type),NA,NA
spuh,bush warbler sp.,Horornis sp.,NA,NA
spuh,Buteo sp.,Buteo sp.,NA,NA
spuh,Buteo/eagle sp.,Buteo/eagle sp.,NA,NA
spuh,buttonquail sp.,Turnix sp.,NA,NA
spuh,Cacomantis sp.,Cacomantis sp.,NA,NA
spuh,Calandrella sp.,Calandrella sp.,NA,NA
spuh,Calidris sp.,Calidris sp.,NA,NA
spuh,Caprimulgus sp.,Caprimulgus sp.,NA,NA
issf,Cattle Egret,Bubulcus ibis,Cattle Egret (Eastern),Bubulcus ibis coromandus
spuh,Cettia sp.,Cettia sp.,NA,NA
issf,Chestnut-bellied Sandgrouse,Pterocles exustus,Chestnut-bellied Sandgrouse (Asian),Pterocles exustus hindustan
spuh,Chlidonias sp.,Chlidonias sp.,NA,NA
spuh,Ciconia sp.,Ciconia sp.,NA,NA
spuh,Cinnyris sp.,Cinnyris sp.,NA,NA
spuh,cisticola sp.,Cisticola sp.,NA,NA
issf,Citrine Wagtail,Motacilla citreola,Citrine Wagtail (Black-backed),Motacilla citreola calcarata
issf,Citrine Wagtail,Motacilla citreola,Citrine Wagtail (Gray-backed),Motacilla citreola citreola/werae
issf,Clamorous Reed Warbler,Acrocephalus stentoreus,Clamorous Reed Warbler (Clamorous),Acrocephalus stentoreus stentoreus/levantinus
slash,Clanga/Aquila sp.,Clanga/Aquila sp.,NA,NA
issf,Coal Tit,Periparus ater,Coal Tit (Himalayan),Periparus ater aemodius/rufipectus
issf,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher (Oriental),Todiramphus chloris [humii Group]
slash,Collared/Oriental Pratincole,Glareola pratincola/maldivarum,NA,NA
spuh,Columba sp.,Columba sp.,NA,NA
issf,Common Buzzard,Buteo buteo,Common Buzzard (Steppe),Buteo buteo vulpinus/menetriesi
issf,Common Chiffchaff,Phylloscopus collybita,Common Chiffchaff (Siberian),Phylloscopus collybita tristis
issf,Common Green-Magpie,Cissa chinensis,Common Green-Magpie (Common),Cissa chinensis [chinensis Group]
issf,Common Kingfisher,Alcedo atthis,Common Kingfisher (Common),Alcedo atthis [atthis Group]
issf,Common Merganser,Mergus merganser,Common Merganser (Eurasian),Mergus merganser merganser/orientalis
issf,Common Tern,Sterna hirundo,Common Tern (hirundo/tibetana),Sterna hirundo hirundo/tibetana
slash,Common/Himalayan Buzzard,Buteo buteo/refectus,NA,NA
slash,Common/Himalayan/Eastern Buzzard,Buteo buteo/refectus/japonicus,NA,NA
