Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,Long.Term.Trend,Current.Annual.Change,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Fulvous Whistling Duck,Dendrocygna bicolor,R,Least Concern,Schedule-I,,-1.87±11.42,13.41±0.07,Data Deficient,Uncertain,Moderate,Low
Lesser Whistling Duck,Dendrocygna javanica,R,Least Concern,Schedule-IV,4.61±19.5,-3.91±2.73,149.9±0.1,Stable,Moderate Decline,Very Large,Low
Bar-headed Goose,Anser indicus,LM,Least Concern,Schedule-IV,-13.4±217.66,-6.94±38.95,45.45±0.07,Uncertain,Uncertain,Large,Low
Greylag Goose,Anser anser,W/P,Least Concern,Schedule-IV,-38.4±34.94,-3.09±8.85,24.57±0.1,Uncertain,Uncertain,Moderate,Low
Comb Duck,Sarkidiornis melanotos,R,Least Concern,Schedule-IV,1.29±31.15,-6.02±4.43,81.23±0.08,Uncertain,Moderate Decline,Large,Moderate
Ruddy Shelduck,Tadorna ferruginea,LM,Least Concern,Schedule-IV,-0.91±65.32,-2.31±11.36,73.17±0.08,Uncertain,Uncertain,Large,Low
Cotton Teal,Nettapus coromandelianus,R,Least Concern,Schedule-IV,-59.55±9.45,-8.04±3.16,100.13±0.1,Strong Decline,Strong Decline,Very Large,High
Garganey,Spatula querquedula,W/P,Least Concern,Schedule-IV,-35.76±18.62,1.53±5.2,78.4±0.09,Stable,Uncertain,Large,Low
Northern Shoveler,Spatula clypeata,W/P,Least Concern,Schedule-IV,-27.92±23.26,0.21±5.82,92.08±0.08,Stable,Uncertain,Large,Low
Gadwall,Mareca strepera,W/P,Least Concern,Schedule-IV,-12.38±38.54,1.19±8.12,68.31±0.09,Uncertain,Uncertain,Large,Low
Eurasian Wigeon,Mareca penelope,W/P,Least Concern,Schedule-IV,-57.07±121.54,-4.11±46.43,59.69±0.08,Uncertain,Uncertain,Large,Low
Indian Spot-billed Duck,Anas poecilorhyncha,R,Least Concern,Schedule-IV,24.78±24.34,-4.1±2.7,137.13±0.08,Stable,Moderate Decline,Very Large,Low
Mallard,Anas platyrhynchos,W/P,Least Concern,Schedule-IV,-44.57±42.64,6.4±17.8,20.99±0.09,Uncertain,Uncertain,Moderate,Low
Northern Pintail,Anas acuta,W/P,Least Concern,Schedule-IV,-55.82±52.99,-5±18.76,99.14±0.09,Uncertain,Uncertain,Large,Low
Common Teal,Anas crecca,W/P,Least Concern,Schedule-IV,-40.4±37.77,3.94±12.27,83.05±0.09,Uncertain,Uncertain,Large,Low
Andaman Teal,Anas albogularis,R,Vulnerable,Schedule-I,,,0.35±0.03,Data Deficient,Data Deficient,Restricted,High
White-winged Wood Duck,Asarcornis scutulata,R,Endangered,Schedule-I,,,1.66±0.09,Data Deficient,Data Deficient,Restricted,High
Red-crested Pochard,Netta rufina,W/P,Least Concern,Schedule-IV,-22.17±35.1,0.69±8.08,34.44±0.08,Uncertain,Uncertain,Large,Low
Common Pochard,Aythya ferina,W/P,Vulnerable,Schedule-IV,-62.97±19.33,-2.84±8.53,56.79±0.08,Moderate Decline,Uncertain,Large,Moderate
Ferruginous Duck,Aythya nyroca,W/P,Near Threatened,Schedule-IV,-19.26±41.88,32.97±18.96,26.79±0.09,Uncertain,Strong Increase,Large,Low
Tufted Duck,Aythya fuligula,W/P,Least Concern,Schedule-IV,-68.36±56.46,-4.29±28.21,38.05±0.09,Uncertain,Uncertain,Large,Low
Common Merganser,Mergus merganser,LM,Least Concern,Schedule-IV,,-6.31±25.43,4.67±0.11,Data Deficient,Uncertain,Moderate,Low
Nicobar Megapode,Megapodius nicobariensis,R,Vulnerable,Schedule-I,,,0.08,Data Deficient,Data Deficient,Restricted,High
Common Hill Partridge,Arborophila torqueola,R,Least Concern,Schedule-IV,,-9.34±8.43,10.2±0.06,Data Deficient,Uncertain,Moderate,Low
