"state","India.Checklist.Name","percentage"
"Andaman & Nicobar Island","Andaman Green Pigeon",100
"Andaman & Nicobar Island","Andaman Serpent Eagle",100
"Andaman & Nicobar Island","Andaman Teal",100
"Andaman & Nicobar Island","Andaman Treepie",100
"Andaman & Nicobar Island","Andaman Woodpecker",100
"Andaman & Nicobar Island","Long-tailed Parakeet",100
"Andaman & Nicobar Island","Narcondam Hornbill",100
"Andaman & Nicobar Island","Nicobar Megapode",100
"Andaman & Nicobar Island","Nicobar Sparrowhawk",100
"Andaman & Nicobar Island","Glossy Swiftlet",100
"Andhra Pradesh","Great Indian Bustard (S)",50
"Andhra Pradesh","Lesser Florican (S)",25
"Andhra Pradesh","Green Munia",20
"Andhra Pradesh","Pale-capped Pigeon",18.1818181818182
"Andhra Pradesh","White-naped Tit (S)",14.2857142857143
"Andhra Pradesh","Jerdon's Courser",0
"Andhra Pradesh","Indian Skimmer",0
"Andhra Pradesh","Great Knot",0
"Arunachal Pradesh","Bar-winged Wren Babbler",100
"Arunachal Pradesh","Bugun Liocichla",100
"Arunachal Pradesh","Mishmi Wren Babbler",100
"Arunachal Pradesh","Sclater's Monal",100
"Arunachal Pradesh","Snowy-throated Babbler",100
"Arunachal Pradesh","White-bellied Heron",100
"Arunachal Pradesh","Beautiful Nuthatch",76.9230769230769
"Arunachal Pradesh","Ward's Trogon",75
"Arunachal Pradesh","Sikkim Wedge-billed Babbler",66.6666666666667
"Arunachal Pradesh","Marsh Babbler",66.6666666666667
"Arunachal Pradesh","Swamp Grass Babbler",66.6666666666667
"Arunachal Pradesh","Blyth's Tragopan",55.5555555555556
"Arunachal Pradesh","Rufous-necked Hornbill",48
"Arunachal Pradesh","Austen's Brown Hornbill",42.8571428571429
"Arunachal Pradesh","Grey-sided Laughingthrush",40
"Arunachal Pradesh","Chinese Rubythroat",37.5
"Arunachal Pradesh","Wreathed Hornbill",36.8421052631579
"Arunachal Pradesh","Chestnut-breasted Hill Partridge",36.3636363636364
"Arunachal Pradesh","Jerdon's Babbler (E)",30.7692307692308
"Arunachal Pradesh","Black-breasted Parrotbill",26.6666666666667
"Arunachal Pradesh","Bengal Florican (E)",23.0769230769231
"Arunachal Pradesh","Slender-billed Vulture",18.1818181818182
"Arunachal Pradesh","Large Blue Flycatcher",0
"Assam","Chestnut-backed Laughingthrush",100
"Assam","White-winged Wood Duck",90.9090909090909
"Assam","Finn's Weaver (E)",88.8888888888889
"Assam","Bengal Florican (E)",76.9230769230769
"Assam","Greater Adjutant",76.7441860465116
"Assam","Slender-billed Babbler",75
"Assam","Swamp Francolin",69.2307692307692
"Assam","Austen's Brown Hornbill",57.1428571428571
"Assam","Jerdon's Babbler (E)",53.8461538461538
"Assam","Wreathed Hornbill",47.3684210526316
"Assam","Black-breasted Parrotbill",46.6666666666667
"Assam","Slender-billed Vulture",45.4545454545455
"Assam","Pallas's Fish Eagle",40
"Assam","Chinese Rubythroat",37.5
"Assam","Lesser Adjutant",35.1351351351351
"Assam","Marsh Babbler",33.3333333333333
"Assam","Swamp Grass Babbler",33.3333333333333
"Assam","Pale-capped Pigeon",27.2727272727273
"Assam","Indian Olive Bulbul",25
"Assam","Hodgson's Bushchat",0
"Assam","Yellow-breasted Bunting",0
"Assam","Manipur Bush Quail",0
"Bihar","Greater Adjutant",18.6046511627907
"Bihar","Lesser Adjutant",6.75675675675676
"Chandigarh","Rufous-fronted Prinia",0.416666666666667
"Chhattisgarh","Indian Nuthatch",21.4634146341463
"Chhattisgarh","Crested Treeswift",10.1593625498008
"Chhattisgarh","Large Cuckooshrike",9.37866354044549
"Chhattisgarh","Yellow-fronted Pied Woodpecker",9.07643312101911
"Chhattisgarh","Cinnamon Bittern",8.23970037453184
"Dadara & Nagar Havelli/Daman & Diu","Gull-billed Tern",0.704225352112676
"Goa","Great Knot",14.2857142857143
"Goa","Nilgiri Wood Pigeon",10.4
"Gujarat","Sociable Lapwing",100
"Gujarat","White-naped Tit (N)",52.1739130434783
"Gujarat","Lesser Florican (N)",47.0588235294118
"Gujarat","Eastern Imperial Eagle",43.2432432432432
"Gujarat","Gull-billed Tern",36.6197183098592
"Gujarat","Great Knot",35.7142857142857
"Gujarat","Stoliczka's Bushchat",30.7692307692308
"Gujarat","Rufous-fronted Prinia",29.1666666666667
"Gujarat","Greater Spotted Eagle",23.2415902140673
"Gujarat","Great Grey Shrike",23.1939163498099
"Gujarat","Forest Owlet",23.0769230769231
"Gujarat","Common Pochard",21.25
"Gujarat","Indian Skimmer",18.1818181818182
"Gujarat","Sarus Crane",16.6134185303514
"Gujarat","Great Indian Bustard (N)",15
"Haryana","Eastern Imperial Eagle",12.1621621621622
"Haryana","Stoliczka's Bushchat",10.2564102564103
"Haryana","Rufous-fronted Prinia",7.5
"Himachal Pradesh","Western Tragopan",100
"Himachal Pradesh","Cheer Pheasant",45.4545454545455
"Himachal Pradesh","West Himalayan Bush Warbler",11.1111111111111
"Himachal Pradesh","Steppe Eagle",9.6969696969697
"Himachal Pradesh","Slender-billed Vulture",9.09090909090909
"Jammu & Kashmir","Kashmir Flycatcher",50
"Jammu & Kashmir","Tytler's Leaf Warbler",12.5
"Jammu & Kashmir","Steppe Eagle",7.27272727272727
